#i	j	k
56	31	22
57	29	21
57	29	22
57	29	23
57	30	21
57	30	22
57	30	23
57	31	21
57	31	22
57	31	23
57	32	22
57	32	23
57	33	23
58	28	20
58	28	21
58	28	22
58	28	23
58	28	24
58	28	25
58	29	19
58	29	20
58	29	21
58	29	22
58	29	23
58	29	24
58	29	25
58	30	19
58	30	20
58	30	21
58	30	22
58	30	23
58	30	24
58	31	21
58	31	22
58	31	23
58	31	24
58	32	22
58	32	23
59	27	20
59	27	21
59	27	22
59	27	23
59	27	24
59	27	25
59	28	19
59	28	20
59	28	21
59	28	22
59	28	23
59	28	24
59	29	18
59	29	19
59	29	20
59	29	21
59	29	22
59	29	23
59	29	24
59	30	17
59	30	18
59	30	19
59	30	20
59	30	21
59	30	22
59	30	23
59	31	17
59	31	18
59	31	19
59	31	20
59	31	21
59	31	22
59	31	23
59	32	20
60	26	19
60	26	20
60	26	21
60	26	22
60	26	23
60	26	24
60	27	19
60	27	20
60	27	21
60	27	22
60	27	23
60	27	24
60	28	18
60	28	19
60	28	20
60	28	21
60	28	22
60	29	18
60	29	19
60	29	20
60	29	21
60	30	17
60	30	18
60	30	19
60	30	20
60	31	17
60	31	18
60	31	19
61	26	19
61	26	20
61	26	21
61	27	19
61	27	20
61	27	21
61	27	22
61	28	18
61	28	19
61	28	20
61	28	21
61	29	18
61	29	19
61	29	20
61	30	17
61	30	18
62	26	20
62	27	19
62	27	20
62	28	19
