#i	j	k
40	103	1
40	104	1
40	104	2
40	105	0
40	105	1
40	105	2
40	106	1
40	106	2
40	106	3
40	107	2
40	108	2
41	103	0
41	103	1
41	103	2
41	103	127
41	104	0
41	104	1
41	104	2
41	104	3
41	104	127
41	105	0
41	105	1
41	105	2
41	105	3
41	106	0
41	106	1
41	106	2
41	106	3
41	107	0
41	107	1
41	107	2
41	107	3
41	108	1
41	108	2
41	108	3
42	101	125
42	101	126
42	101	127
42	102	1
42	102	125
42	102	126
42	102	127
42	103	0
42	103	1
42	103	2
42	103	3
42	103	125
42	103	126
42	103	127
42	104	0
42	104	1
42	104	2
42	104	3
42	104	4
42	104	126
42	104	127
42	105	0
42	105	1
42	105	2
42	105	3
42	105	4
42	105	126
42	105	127
42	106	0
42	106	1
42	106	2
42	106	3
42	106	4
42	106	127
42	107	0
42	107	1
42	107	2
42	107	3
42	107	4
42	107	127
42	108	0
42	108	1
42	108	2
42	108	3
42	108	4
42	109	0
42	109	1
42	109	2
42	109	3
42	110	0
42	110	1
42	111	0
43	100	123
43	100	124
43	100	125
43	100	126
43	101	123
43	101	124
43	101	125
43	101	126
43	101	127
43	102	0
43	102	1
43	102	123
43	102	124
43	102	125
43	102	126
43	102	127
43	103	0
43	103	1
43	103	2
43	103	3
43	103	4
43	103	124
43	103	125
43	103	126
43	103	127
43	104	0
43	104	1
43	104	2
43	104	3
43	104	4
43	104	124
43	104	125
43	104	126
43	104	127
43	105	0
43	105	1
43	105	2
43	105	3
43	105	4
43	105	125
43	105	126
43	105	127
43	106	0
43	106	1
43	106	2
43	106	3
43	106	4
43	106	125
43	106	126
43	106	127
43	107	0
43	107	1
43	107	2
43	107	3
43	107	4
43	107	126
43	107	127
43	108	0
43	108	1
43	108	2
43	108	3
43	108	4
43	108	126
43	108	127
43	109	0
43	109	1
43	109	2
43	109	3
43	109	4
43	109	126
43	109	127
43	110	0
43	110	1
43	110	2
43	110	126
43	110	127
43	111	1
44	99	124
44	100	123
44	100	124
44	100	125
44	100	126
44	100	127
44	101	123
44	101	124
44	101	125
44	101	126
44	101	127
44	102	0
44	102	1
44	102	123
44	102	124
44	102	125
44	102	126
44	102	127
44	103	0
44	103	1
44	103	2
44	103	3
44	103	4
44	103	123
44	103	124
44	103	125
44	103	126
44	103	127
44	104	0
44	104	1
44	104	2
44	104	3
44	104	4
44	104	123
44	104	124
44	104	125
44	104	126
44	104	127
44	105	0
44	105	1
44	105	2
44	105	3
44	105	4
44	105	123
44	105	124
44	105	125
44	105	126
44	105	127
44	106	0
44	106	1
44	106	2
44	106	3
44	106	4
44	106	124
44	106	125
44	106	126
44	106	127
44	107	0
44	107	1
44	107	2
44	107	3
44	107	4
44	107	124
44	107	125
44	107	126
44	107	127
44	108	0
44	108	1
44	108	2
44	108	3
44	108	4
44	108	125
44	108	126
44	108	127
44	109	0
44	109	1
44	109	3
44	109	4
44	109	125
44	109	126
44	109	127
44	110	0
44	110	1
44	110	125
44	110	126
44	110	127
45	100	123
45	100	124
45	100	125
45	100	126
45	100	127
45	101	122
45	101	123
45	101	124
45	101	125
45	101	126
45	101	127
45	102	0
45	102	1
45	102	122
45	102	123
45	102	124
45	102	125
45	102	126
45	102	127
45	103	0
45	103	1
45	103	2
45	103	122
45	103	123
45	103	124
45	103	125
45	103	126
45	103	127
45	104	0
45	104	1
45	104	2
45	104	3
45	104	4
45	104	123
45	104	124
45	104	125
45	104	126
45	104	127
45	105	0
45	105	1
45	105	2
45	105	3
45	105	4
45	105	123
45	105	124
45	105	125
45	105	126
45	105	127
45	106	0
45	106	1
45	106	2
45	106	3
45	106	4
45	106	123
45	106	124
45	106	125
45	106	126
45	106	127
45	107	0
45	107	1
45	107	2
45	107	3
45	107	4
45	107	123
45	107	124
45	107	125
45	107	126
45	107	127
45	108	0
45	108	1
45	108	2
45	108	3
45	108	4
45	108	123
45	108	124
45	108	125
45	108	126
45	108	127
45	109	0
45	109	4
45	109	124
45	109	125
45	109	126
45	109	127
45	110	125
45	110	126
46	100	125
46	100	126
46	100	127
46	101	122
46	101	123
46	101	124
46	101	125
46	101	126
46	101	127
46	102	0
46	102	1
46	102	122
46	102	123
46	102	124
46	102	125
46	102	126
46	102	127
46	103	0
46	103	1
46	103	2
46	103	122
46	103	123
46	103	124
46	103	125
46	103	126
46	103	127
46	104	0
46	104	1
46	104	2
46	104	3
46	104	4
46	104	123
46	104	124
46	104	125
46	104	126
46	104	127
46	105	0
46	105	1
46	105	2
46	105	3
46	105	4
46	105	123
46	105	124
46	105	125
46	105	126
46	105	127
46	106	0
46	106	1
46	106	2
46	106	3
46	106	4
46	106	123
46	106	124
46	106	125
46	106	126
46	106	127
46	107	0
46	107	1
