#i	j	k
102	115	96
102	116	96
103	114	95
103	115	95
103	115	96
103	116	95
103	116	96
103	117	95
103	117	96
103	118	95
104	114	94
104	114	95
104	114	96
104	115	94
104	115	95
104	115	96
104	115	97
104	116	94
104	116	95
104	116	96
104	116	97
104	117	94
104	117	95
104	117	96
104	118	94
104	118	95
104	119	94
104	119	95
105	114	94
105	114	95
105	114	96
105	115	93
105	115	94
105	115	95
105	115	96
105	115	97
105	116	93
105	116	94
105	116	95
105	116	96
105	116	97
105	117	93
105	117	94
105	117	95
105	117	96
105	117	97
105	118	93
105	118	94
105	118	95
105	118	96
105	119	94
105	119	95
105	120	95
106	114	94
106	114	95
106	114	96
106	115	92
106	115	93
106	115	94
106	115	95
106	115	96
106	115	97
106	116	93
106	116	94
106	116	95
106	116	96
106	116	97
106	117	93
106	117	94
106	117	95
106	117	96
106	117	97
106	118	93
106	118	94
106	118	95
106	118	96
106	118	97
106	119	94
106	119	95
106	119	96
106	120	95
107	114	93
107	114	94
107	115	92
107	115	93
107	115	94
107	115	95
107	115	96
107	116	92
107	116	93
107	116	94
107	116	95
107	116	96
107	116	97
107	117	93
107	117	94
107	117	95
107	117	96
107	117	97
107	118	93
107	118	94
107	118	95
107	118	96
107	118	97
107	119	94
107	119	95
107	119	96
107	120	95
107	120	96
108	115	94
108	116	92
108	116	93
108	116	94
108	116	95
108	116	96
108	117	92
108	117	93
108	117	94
108	117	95
108	117	96
108	118	93
108	118	94
108	118	95
108	118	96
108	119	93
108	119	94
108	119	95
108	119	96
108	120	83
108	120	84
108	120	95
108	120	96
109	118	93
109	119	82
109	119	83
109	119	84
109	119	94
109	120	94
109	120	95
110	120	82
