lambda_1_H1, lambda_2_H1, lambda_3_H1,lambda_1_H2, lambda_2_H2, lambda_3_H2,eigen_1_X_H1, eigen_1_Y_H1, eigen_1_Z_H1,eigen_2_X_H1, eigen_2_Y_H1, eigen_2_Z_H1,eigen_3_X_H1, eigen_3_Y_H1, eigen_3_Z_H1,eigen_1_X_H2, eigen_1_Y_H2, eigen_1_Z_H2,eigen_2_X_H2, eigen_2_Y_H2, eigen_2_Z_H2,eigen_3_X_H2, eigen_3_Y_H2, eigen_3_Z_H2
1.766960,1.015050,-0.737503,2.529610,2.051920,0.869928,0.353080,0.494808,0.803381,0.784391,0.401724,-0.549502,0.509965,-0.770573,0.229403,0.250978,0.293371,0.942299,0.798336,0.385132,-0.270886,0.547421,-0.874990,0.196706
5.333790,3.729970,-2.430250,5.333790,3.729970,-2.430250,0.993731,-0.169986,-0.028907,0.024405,0.815849,-0.564765,0.109105,0.552716,0.824745,0.989533,-0.147747,-0.073115,0.019986,0.840025,-0.535669,0.142918,0.522043,0.841257
3.979070,1.661420,0.193151,3.979070,1.661420,0.193151,0.867002,-0.439107,0.390324,0.162795,-0.388208,-0.894704,0.470961,0.810234,-0.217144,0.793431,-0.476267,0.436207,0.414316,-0.093369,-0.888454,0.445880,0.874330,0.142734
6.045410,1.909170,-0.783607,6.045410,1.909170,-0.783607,0.178879,0.485778,0.848143,0.515053,0.341134,-0.406595,0.838286,-0.804765,0.339609,0.185146,0.555835,0.793894,0.237735,0.735213,-0.607882,0.953521,-0.387956,-0.014559
3.933120,2.575040,0.836864,1.183160,0.730518,-0.587522,0.571050,-0.754749,-0.291003,0.264321,0.522784,-0.808216,0.777198,0.396297,0.511960,0.640928,-0.753793,-0.310010,0.004671,0.490967,-0.851736,0.767587,0.436747,0.422420
5.312240,5.215100,0.451324,7.763980,5.818590,1.327040,0.514381,0.749602,0.367584,0.134827,0.338923,-0.927482,0.846896,-0.568531,-0.068252,0.544308,0.762068,0.362701,0.167374,0.355148,-0.926799,0.822019,-0.541407,-0.097428
5.030350,1.145530,-0.508622,5.024860,1.119620,-1.106310,0.224409,-0.036177,0.980121,0.363686,-0.906155,-0.114483,0.904087,0.421396,-0.162037,0.242420,0.248688,0.952571,0.810298,-0.721680,0.061456,0.533525,0.646013,-0.298045
2.854970,2.255450,-1.526370,3.992170,2.722810,0.382705,0.786247,-0.134914,-0.667744,0.575052,0.481715,0.601429,0.226122,-0.865880,0.438635,0.592903,-0.198434,-0.820115,0.757604,0.431809,0.418419,0.272950,-0.879866,0.390304
4.086660,2.082750,0.169829,4.086660,2.082750,0.169829,0.539011,-0.080285,-0.803926,0.101317,-0.767835,0.426858,0.836183,0.635598,0.414119,0.452184,-0.146922,-0.829386,0.291280,-0.966211,0.237006,0.843022,0.211780,0.505912
6.464680,3.401120,-0.488713,3.719930,1.763220,-1.231000,0.145457,-0.939356,0.308412,0.308856,0.340684,0.889320,0.939920,0.039298,-0.337626,0.135809,-0.925787,0.354203,0.261983,0.377146,0.889439,0.955469,0.026076,-0.288856
2.422260,1.920840,0.152637,2.766320,1.221640,-0.111517,0.028179,-0.924154,-0.371960,0.180068,-0.342993,0.908276,0.983250,0.168214,-0.191520,0.319030,-0.934008,-0.238156,0.292151,-0.159225,0.944766,0.901592,0.319807,-0.225166
6.319410,3.732710,1.841530,5.649560,2.859360,0.644670,0.343038,-0.388357,0.866006,0.196871,-0.896533,-0.434114,0.918459,0.213088,-0.248151,0.249338,-0.390682,0.886889,0.072237,-0.895846,-0.427922,0.965719,0.211725,-0.174099
