#i	j	k
34	9	31
34	9	32
34	10	27
34	10	28
34	11	27
34	11	28
34	11	29
34	12	29
35	8	30
35	8	31
35	9	28
35	9	29
35	9	30
35	9	31
35	9	32
35	10	26
35	10	27
35	10	28
35	10	29
35	10	30
35	10	31
35	11	26
35	11	27
35	11	28
35	11	29
35	11	30
35	12	28
35	12	29
36	7	29
36	8	29
36	8	30
36	8	31
36	9	28
36	9	29
36	9	30
36	9	31
36	9	32
36	10	26
36	10	27
36	10	28
36	10	29
36	10	30
36	10	31
36	11	26
36	11	27
36	11	28
36	11	29
36	11	30
36	11	31
36	12	26
36	12	27
36	12	28
36	12	29
36	12	30
36	13	29
37	7	29
37	8	29
37	8	30
37	8	31
37	9	28
37	9	29
37	9	30
37	9	31
37	9	32
37	10	26
37	10	27
37	10	28
37	10	29
37	10	30
37	10	31
37	10	32
37	11	26
37	11	27
37	11	28
37	11	29
37	11	30
37	11	31
37	12	26
37	12	27
37	12	28
37	12	29
37	12	30
37	12	31
37	13	28
37	13	29
37	13	30
38	7	29
38	8	28
38	8	29
38	8	30
38	8	31
38	9	25
38	9	27
38	9	28
38	9	29
38	9	30
38	9	31
38	9	32
38	10	25
38	10	26
38	10	27
38	10	28
38	10	29
38	10	30
38	10	31
38	10	32
38	11	25
38	11	26
38	11	27
38	11	28
38	11	29
38	11	30
38	11	31
38	11	32
38	12	25
38	12	26
38	12	27
38	12	28
38	12	29
38	12	30
38	12	31
38	12	32
38	13	27
38	13	28
38	13	29
38	13	30
38	14	29
39	7	29
39	7	30
39	7	31
39	8	27
39	8	28
39	8	29
39	8	30
39	8	31
39	9	25
39	9	26
39	9	27
39	9	28
39	9	29
39	9	30
39	9	31
39	9	32
39	10	25
39	10	26
39	10	27
39	10	28
39	10	29
39	10	30
39	10	31
39	10	32
39	11	24
39	11	25
39	11	26
39	11	27
39	11	28
39	11	29
39	11	30
39	11	31
39	11	32
39	12	25
39	12	26
39	12	27
39	12	28
39	12	29
39	12	30
39	12	31
39	12	32
39	13	26
39	13	27
39	13	28
39	13	29
39	13	30
39	14	28
39	14	29
40	7	26
40	7	27
40	8	25
40	8	26
40	8	27
40	8	28
40	8	29
40	8	30
40	8	31
40	9	25
40	9	26
40	9	27
40	9	28
40	9	29
40	9	30
40	9	31
40	10	25
40	10	26
40	10	27
40	10	28
40	10	29
40	10	30
40	10	31
40	11	25
40	11	26
40	11	27
40	11	28
40	11	29
40	11	30
40	11	31
40	12	25
40	12	26
40	12	27
40	12	28
40	12	29
40	12	30
40	13	26
40	13	27
40	13	28
40	13	29
40	14	28
41	7	25
41	7	26
41	7	27
41	7	28
41	8	25
41	8	26
41	8	27
41	8	28
41	8	29
41	8	30
41	9	25
41	9	26
41	9	27
41	9	28
41	9	29
41	9	30
41	9	31
41	10	24
41	10	25
41	10	26
41	10	27
41	10	28
41	10	29
41	10	30
41	10	31
41	11	25
41	11	26
41	11	27
41	11	28
41	11	29
41	11	30
41	11	31
41	12	25
41	12	26
41	12	27
41	12	28
41	12	29
41	12	30
41	13	25
41	13	26
41	13	27
41	13	28
41	13	29
42	3	26
42	4	24
42	4	25
42	4	26
42	5	24
42	5	25
42	5	26
42	5	27
42	6	24
42	6	25
42	6	26
42	6	27
42	6	28
42	7	24
42	7	25
42	7	26
42	7	27
42	7	28
42	7	29
42	8	24
42	8	25
42	8	26
42	8	27
42	8	28
42	8	29
42	8	30
42	9	24
42	9	25
42	9	26
42	9	27
42	9	28
42	9	29
42	9	30
42	9	31
42	10	24
42	10	25
42	10	26
42	10	27
42	10	28
42	10	29
42	10	30
42	10	31
42	11	24
42	11	25
42	11	26
42	11	27
42	11	28
42	11	29
42	11	30
42	11	31
42	12	24
42	12	25
42	12	26
42	12	27
42	12	28
42	12	29
42	12	30
42	13	25
42	13	26
42	13	27
42	13	28
42	13	29
42	13	30
43	1	26
43	1	28
43	2	26
43	2	27
43	2	28
43	3	25
43	3	26
43	3	27
43	4	23
43	4	24
43	4	25
43	4	26
43	4	27
43	5	23
43	5	24
43	5	25
43	5	26
43	5	27
43	5	28
43	5	29
43	6	23
43	6	24
43	6	25
43	6	26
43	6	27
43	6	28
43	7	23
43	7	24
43	7	25
43	7	26
43	7	27
43	7	28
43	7	29
43	7	30
43	8	23
43	8	24
43	8	25
43	8	26
43	8	27
43	8	28
43	8	29
43	8	30
43	8	31
43	9	23
43	9	24
43	9	25
43	9	26
43	9	27
43	9	28
43	9	29
43	9	30
43	9	31
43	10	23
43	10	24
43	10	25
43	10	26
43	10	27
43	10	28
43	10	29
43	10	30
43	10	31
43	11	23
43	11	24
43	11	25
43	11	26
43	11	27
43	11	28
43	11	29
43	11	30
43	11	31
43	12	24
43	12	25
43	12	26
43	12	27
43	12	28
43	12	29
43	12	30
43	12	31
43	13	24
43	13	25
43	13	26
43	13	27
43	13	28
43	13	29
43	13	30
43	14	24
43	14	25
43	14	28
43	14	29
43	15	25
43	16	25
43	16	26
43	17	26
44	0	25
44	0	26
44	0	27
44	0	28
44	0	29
44	1	25
44	1	26
44	1	27
44	1	28
44	1	29
44	1	30
44	2	25
44	2	26
44	2	27
44	2	28
44	2	29
44	2	30
44	3	23
44	3	24
44	3	25
44	3	26
44	3	27
44	3	28
44	3	29
44	4	23
44	4	24
44	4	25
44	4	26
44	4	27
44	4	28
44	5	23
44	5	24
44	5	25
44	5	26
44	5	27
44	5	28
44	5	29
44	6	22
44	6	23
44	6	24
44	6	25
44	6	26
44	6	27
44	6	28
44	6	29
44	6	30
44	6	31
44	7	22
44	7	23
44	7	24
44	7	25
44	7	26
44	7	27
44	7	28
44	7	29
44	7	30
44	7	31
44	8	23
44	8	24
44	8	25
44	8	26
44	8	27
44	8	28
44	8	29
44	8	30
44	8	31
44	9	23
44	9	24
44	9	25
44	9	26
44	9	27
44	9	28
44	9	29
44	9	30
44	9	31
44	10	23
44	10	24
44	10	25
44	10	26
44	10	27
44	10	28
44	10	29
44	10	30
44	10	31
44	11	23
44	11	24
44	11	25
44	11	26
44	11	27
44	11	28
44	11	29
44	11	30
44	11	31
44	12	24
44	12	25
44	12	26
44	12	27
44	12	28
44	12	29
44	12	30
44	12	31
44	13	24
44	13	25
44	13	26
44	13	27
44	13	28
44	13	29
44	13	30
44	14	24
44	14	25
44	14	26
44	14	27
44	14	28
44	14	29
44	14	30
44	15	24
44	15	25
44	15	26
44	16	24
44	16	25
44	16	26
44	17	25
44	17	26
44	62	27
44	63	26
44	63	28
45	0	25
45	0	26
45	0	27
45	0	28
45	0	29
45	0	30
45	0	31
45	1	24
45	1	25
45	1	26
45	1	27
45	1	28
45	1	29
45	1	30
45	1	31
45	2	24
45	2	25
45	2	26
45	2	27
45	2	28
45	2	29
45	2	30
45	2	31
45	3	23
45	3	24
45	3	25
45	3	26
45	3	27
45	3	28
45	3	29
45	3	30
45	3	31
45	3	32
45	4	23
45	4	24
45	4	25
45	4	26
45	4	27
45	4	28
45	4	29
45	4	30
45	4	31
45	5	23
45	5	24
45	5	25
45	5	26
45	5	27
45	5	28
45	5	29
45	5	30
45	5	31
45	6	22
45	6	23
45	6	24
45	6	25
45	6	26
45	6	27
45	6	28
45	6	29
45	6	30
45	6	31
45	7	22
45	7	23
45	7	24
45	7	25
45	7	26
45	7	27
45	7	28
45	7	29
45	7	30
45	7	31
45	7	32
45	8	22
45	8	23
45	8	24
45	8	25
45	8	26
45	8	27
45	8	28
45	8	29
45	8	30
45	8	31
45	9	23
45	9	24
45	9	25
45	9	26
45	9	27
45	9	28
45	9	29
45	9	30
45	9	31
45	10	23
45	10	24
45	10	25
45	10	26
45	10	27
45	10	28
45	10	29
45	10	30
45	10	31
45	11	23
45	11	24
45	11	25
45	11	26
45	11	27
45	11	28
45	11	29
45	11	30
45	11	31
45	12	23
45	12	24
45	12	25
45	12	26
45	12	27
45	12	28
45	12	29
45	12	30
45	12	31
45	13	24
45	13	25
45	13	26
45	13	27
45	13	28
45	13	29
45	13	30
45	14	24
45	14	25
45	14	26
45	14	27
45	14	28
45	14	29
45	14	30
45	15	24
45	15	25
45	15	26
45	15	28
45	15	29
45	16	24
45	16	25
45	16	26
45	17	25
45	17	26
45	61	28
45	62	27
45	62	28
45	62	29
45	63	26
45	63	27
45	63	28
45	63	29
45	63	30
46	0	25
46	0	26
46	0	27
46	0	28
46	0	29
46	0	30
46	0	31
46	1	24
46	1	25
46	1	26
46	1	27
46	1	28
46	1	29
46	1	30
46	1	31
46	2	24
46	2	25
46	2	26
46	2	27
46	2	28
46	2	29
46	2	30
46	2	31
46	3	23
46	3	24
46	3	25
46	3	26
46	3	27
46	3	28
46	3	29
46	3	30
46	3	31
46	4	23
46	4	24
46	4	25
46	4	26
46	4	27
46	4	28
46	4	29
46	4	30
46	4	31
46	5	23
46	5	24
46	5	25
46	5	26
46	5	27
46	5	28
46	5	29
46	5	30
46	5	31
46	6	21
46	6	22
46	6	23
46	6	24
46	6	25
46	6	26
46	6	27
46	6	28
46	6	29
46	6	30
46	6	31
46	7	22
46	7	23
46	7	24
46	7	25
46	7	26
46	7	27
46	7	28
46	7	29
46	7	30
46	7	31
46	8	22
46	8	23
46	8	24
46	8	25
46	8	26
46	8	27
46	8	28
46	8	29
46	8	30
46	8	31
46	9	22
46	9	23
46	9	24
46	9	25
46	9	26
46	9	27
46	9	28
46	9	29
46	9	30
46	9	31
46	10	23
46	10	24
46	10	25
46	10	26
46	10	27
46	10	28
46	10	29
46	10	30
46	11	23
46	11	24
46	11	25
46	11	26
46	11	27
46	11	28
46	11	29
46	11	30
46	12	24
46	12	25
46	12	26
46	12	27
46	12	28
46	12	29
46	12	30
46	13	24
46	13	25
46	13	26
46	13	27
46	13	28
46	13	29
46	14	25
46	14	26
46	14	28
46	61	28
46	62	27
46	62	28
46	62	29
46	63	26
46	63	27
46	63	28
46	63	29
46	63	30
47	0	27
47	0	28
47	0	29
47	0	30
47	1	25
47	1	26
47	1	27
47	1	28
47	1	29
47	1	30
47	1	31
47	2	24
47	2	25
47	2	26
47	2	27
47	2	28
47	2	29
47	2	30
47	3	24
47	3	25
47	3	26
47	3	27
47	3	28
47	3	29
47	3	30
47	4	18
47	4	24
47	4	25
47	4	26
47	4	27
47	4	28
47	4	29
47	4	30
47	5	19
47	5	20
47	5	23
47	5	24
47	5	25
47	5	26
47	5	27
47	5	28
47	5	29
47	5	30
47	5	31
47	6	20
47	6	21
47	6	22
47	6	23
47	6	24
47	6	25
47	6	26
47	6	27
47	6	28
47	6	29
47	6	30
47	6	31
47	7	21
47	7	22
47	7	23
47	7	24
47	7	25
47	7	26
47	7	27
47	7	28
47	7	29
47	7	30
47	8	22
47	8	23
47	8	24
47	8	25
47	8	26
47	8	27
47	8	28
47	8	29
47	8	30
47	9	22
47	9	23
47	9	24
47	9	25
47	9	26
47	9	27
47	9	28
47	9	29
47	9	30
47	10	23
47	10	24
47	10	25
47	10	26
47	10	27
47	10	28
47	10	29
47	11	23
47	11	24
47	11	25
47	11	26
47	11	27
47	11	28
47	11	29
47	12	24
47	12	25
47	12	26
47	12	27
47	12	28
47	12	29
47	13	24
47	13	25
47	13	26
47	13	27
47	13	28
47	62	28
47	62	29
47	63	28
47	63	29
47	63	30
48	0	28
48	0	29
48	0	30
48	1	27
48	1	28
48	1	29
48	1	30
48	2	26
48	2	27
48	2	28
48	2	29
48	3	25
48	3	26
48	3	27
48	3	28
