#i	j	k
0	46	0
0	46	1
0	46	2
0	46	3
0	46	4
0	46	5
0	46	127
0	47	0
0	47	1
0	47	2
0	47	3
0	47	4
0	47	5
0	47	127
0	48	0
0	48	1
0	48	2
0	48	3
0	48	4
0	48	5
0	48	127
0	49	0
0	49	1
0	49	2
0	49	3
0	49	4
0	49	5
0	49	127
0	50	0
0	50	1
0	50	2
0	50	3
0	50	4
0	50	5
0	50	6
0	50	127
0	51	0
0	51	1
0	51	2
0	51	3
0	51	4
0	51	5
0	51	6
0	51	127
0	52	0
0	52	1
0	52	2
0	52	3
0	52	4
0	52	5
0	52	6
0	52	127
0	53	0
0	53	1
0	53	2
0	53	3
0	53	4
0	53	5
0	53	6
0	53	126
0	53	127
0	54	0
0	54	1
0	54	2
0	54	3
0	54	4
0	54	5
0	54	6
0	54	126
0	54	127
0	55	0
0	55	1
0	55	2
0	55	3
0	55	4
0	55	5
0	55	6
0	55	126
0	55	127
0	56	0
0	56	1
0	56	2
0	56	3
0	56	4
0	56	5
0	56	125
0	56	126
0	56	127
0	57	0
0	57	1
0	57	2
0	57	3
0	57	4
0	57	5
0	57	125
0	57	126
0	57	127
0	58	0
0	58	1
0	58	2
0	58	3
0	58	4
0	58	125
0	58	126
0	58	127
0	59	0
0	59	1
0	59	2
0	59	3
0	59	125
0	59	126
0	59	127
0	60	0
0	60	1
0	60	2
0	60	3
0	60	125
0	60	126
0	60	127
0	61	0
0	61	1
0	61	2
0	61	126
0	61	127
0	62	0
0	62	1
0	62	127
0	63	0
1	46	0
1	46	127
1	47	0
1	47	1
1	47	2
1	47	3
1	47	4
1	47	127
1	48	0
1	48	1
1	48	2
1	48	3
1	48	4
1	48	127
1	49	0
1	49	1
1	49	2
1	49	3
1	49	4
1	49	5
1	49	127
1	50	0
1	50	1
1	50	2
1	50	3
1	50	4
1	50	5
1	50	127
1	51	0
1	51	1
1	51	2
1	51	3
1	51	4
1	51	5
1	51	6
1	51	127
1	52	0
1	52	1
1	52	2
1	52	3
1	52	4
1	52	5
1	52	6
1	52	7
1	52	126
1	52	127
1	53	0
1	53	1
1	53	2
1	53	3
1	53	4
1	53	5
1	53	6
1	53	7
1	53	126
1	53	127
1	54	0
1	54	1
1	54	2
1	54	3
1	54	4
1	54	5
1	54	6
1	54	126
1	54	127
1	55	0
1	55	1
1	55	2
1	55	3
1	55	4
1	55	5
1	55	126
1	55	127
1	56	0
1	56	1
1	56	2
1	56	3
1	56	4
1	56	5
1	56	125
1	56	126
1	56	127
1	57	0
1	57	1
1	57	2
1	57	3
1	57	4
1	57	125
1	57	126
1	57	127
1	58	0
1	58	1
1	58	2
1	58	3
1	58	4
1	58	125
1	58	126
1	58	127
1	59	0
1	59	1
1	59	2
1	59	3
1	59	125
1	59	126
1	59	127
1	60	0
1	60	1
1	60	2
1	60	125
1	60	126
1	60	127
1	61	0
1	61	1
1	61	125
1	61	126
1	61	127
1	62	0
1	62	1
1	62	126
1	62	127
1	63	0
1	63	127
2	46	0
2	46	126
2	47	0
2	47	1
2	47	126
2	47	127
2	48	0
2	48	1
2	48	2
2	48	3
2	48	4
2	48	126
2	48	127
2	49	0
2	49	1
2	49	2
2	49	3
2	49	4
2	49	126
2	49	127
2	50	0
2	50	1
2	50	2
2	50	3
2	50	4
2	50	5
2	50	126
2	50	127
2	51	0
2	51	1
2	51	2
2	51	3
2	51	4
2	51	5
2	51	6
2	51	126
2	51	127
2	52	0
2	52	1
2	52	2
2	52	3
2	52	4
2	52	5
2	52	6
2	52	7
2	52	126
2	52	127
2	53	0
2	53	1
2	53	2
2	53	3
2	53	4
2	53	5
2	53	6
2	53	7
2	53	126
2	53	127
2	54	0
2	54	1
2	54	2
2	54	3
2	54	4
2	54	5
2	54	6
2	54	126
2	54	127
2	55	0
2	55	1
2	55	2
2	55	3
2	55	4
2	55	5
2	55	126
2	55	127
2	56	0
2	56	1
2	56	2
2	56	3
2	56	4
2	56	125
2	56	126
2	56	127
2	57	0
2	57	1
2	57	2
2	57	3
2	57	4
2	57	125
2	57	126
2	57	127
2	58	0
2	58	1
2	58	2
2	58	3
2	58	125
2	58	126
2	58	127
2	59	0
2	59	1
2	59	2
2	59	3
2	59	125
2	59	126
2	59	127
2	60	0
2	60	1
2	60	2
2	60	125
2	60	126
2	60	127
2	61	0
2	61	1
2	61	125
2	61	126
2	61	127
2	62	0
2	62	1
2	62	126
2	62	127
2	63	0
2	63	127
3	46	0
3	46	126
3	47	0
3	47	1
3	47	126
3	47	127
3	48	0
3	48	1
3	48	2
3	48	3
3	48	126
3	48	127
3	49	0
3	49	1
3	49	2
3	49	3
3	49	4
3	49	126
3	49	127
3	50	0
3	50	1
3	50	2
3	50	3
3	50	4
3	50	5
3	50	126
3	50	127
3	51	0
3	51	1
3	51	2
3	51	3
3	51	4
3	51	5
3	51	6
3	51	126
3	51	127
3	52	0
3	52	1
3	52	2
3	52	3
3	52	4
3	52	5
3	52	6
3	52	126
3	52	127
3	53	0
3	53	1
3	53	2
3	53	3
3	53	4
3	53	5
3	53	6
3	53	7
3	53	126
3	53	127
3	54	0
3	54	1
3	54	2
3	54	3
3	54	4
3	54	5
3	54	6
3	54	126
3	54	127
3	55	0
3	55	1
3	55	2
3	55	3
3	55	4
3	55	5
3	55	126
3	55	127
3	56	0
3	56	1
3	56	2
3	56	3
3	56	4
3	56	125
3	56	126
3	56	127
3	57	0
3	57	1
3	57	2
3	57	3
3	57	4
3	57	125
3	57	126
3	57	127
3	58	0
3	58	1
3	58	2
3	58	3
3	58	125
3	58	126
3	58	127
3	59	0
3	59	1
3	59	2
3	59	3
3	59	125
3	59	126
3	59	127
3	60	0
3	60	1
3	60	2
3	60	125
3	60	126
3	60	127
3	61	0
3	61	1
3	61	125
3	61	126
3	61	127
3	62	0
3	62	1
3	62	126
3	62	127
3	63	0
3	63	127
3	64	127
4	46	0
4	47	0
4	47	1
4	47	126
4	47	127
4	48	0
4	48	1
4	48	2
4	48	3
4	48	126
4	48	127
4	49	0
4	49	1
4	49	2
4	49	3
4	49	4
4	49	126
4	49	127
4	50	0
4	50	1
4	50	2
4	50	3
4	50	4
4	50	5
4	50	126
4	50	127
4	51	0
4	51	1
4	51	2
4	51	3
4	51	4
4	51	5
4	51	126
4	51	127
4	52	0
4	52	1
4	52	2
4	52	3
4	52	4
4	52	5
4	52	6
4	52	126
4	52	127
4	53	0
4	53	1
4	53	2
4	53	3
4	53	4
4	53	5
4	53	6
4	53	7
4	53	126
4	53	127
4	54	0
4	54	1
4	54	2
4	54	3
4	54	4
4	54	5
4	54	6
4	54	126
4	54	127
4	55	0
4	55	1
4	55	2
4	55	3
4	55	4
4	55	5
4	55	126
4	55	127
4	56	0
4	56	1
4	56	2
4	56	3
4	56	4
4	56	125
4	56	126
4	56	127
4	57	0
4	57	1
4	57	2
4	57	3
4	57	4
4	57	125
4	57	126
4	57	127
4	58	0
4	58	1
4	58	2
4	58	3
4	58	125
4	58	126
4	58	127
4	59	0
4	59	1
4	59	2
4	59	3
4	59	125
4	59	126
4	59	127
4	60	0
4	60	1
4	60	2
4	60	125
4	60	126
4	60	127
4	61	0
4	61	1
4	61	125
4	61	126
4	61	127
4	62	0
4	62	1
4	62	126
4	62	127
4	63	0
4	63	126
4	63	127
4	64	0
4	64	127
5	46	0
5	47	0
5	47	1
5	47	126
5	47	127
5	48	0
5	48	1
5	48	2
5	48	126
5	48	127
5	49	0
5	49	1
5	49	2
5	49	3
5	49	4
5	49	126
5	49	127
5	50	0
5	50	1
5	50	2
5	50	3
5	50	4
5	50	126
5	50	127
5	51	0
5	51	1
5	51	2
5	51	3
5	51	4
5	51	5
5	51	126
5	51	127
5	52	0
5	52	1
5	52	2
5	52	3
5	52	4
5	52	5
5	52	6
5	52	126
5	52	127
5	53	0
5	53	1
5	53	2
5	53	3
5	53	4
5	53	5
5	53	6
5	53	126
5	53	127
5	54	0
5	54	1
5	54	2
5	54	3
5	54	4
5	54	5
5	54	6
5	54	126
5	54	127
5	55	0
5	55	1
5	55	2
5	55	3
5	55	4
5	55	5
5	55	126
5	55	127
5	56	0
5	56	1
5	56	2
5	56	3
5	56	4
5	56	125
5	56	126
5	56	127
5	57	0
5	57	1
5	57	2
5	57	3
5	57	4
5	57	125
5	57	126
5	57	127
5	58	0
5	58	1
5	58	2
5	58	3
5	58	125
5	58	126
5	58	127
5	59	0
5	59	1
5	59	2
5	59	3
5	59	125
5	59	126
5	59	127
5	60	0
5	60	1
5	60	2
5	60	125
5	60	126
5	60	127
5	61	0
5	61	1
5	61	125
5	61	126
5	61	127
5	62	0
5	62	1
5	62	126
5	62	127
5	63	0
5	63	126
5	63	127
5	64	0
6	46	0
6	47	0
6	47	1
6	47	126
6	47	127
6	48	0
6	48	1
6	48	126
6	48	127
6	49	0
6	49	1
6	49	2
6	49	3
6	49	126
6	49	127
6	50	0
6	50	1
6	50	2
6	50	3
6	50	4
6	50	126
6	50	127
6	51	0
6	51	1
6	51	2
6	51	3
6	51	4
6	51	5
6	51	127
6	52	0
6	52	1
6	52	2
6	52	3
6	52	4
6	52	5
6	52	127
6	53	0
6	53	1
6	53	2
6	53	3
6	53	4
6	53	5
6	53	6
6	53	127
6	54	0
6	54	1
6	54	2
6	54	3
6	54	4
6	54	5
6	54	6
6	54	126
6	54	127
6	55	0
6	55	1
6	55	2
6	55	3
6	55	4
6	55	5
6	55	126
6	55	127
6	56	0
6	56	1
6	56	2
6	56	3
6	56	4
6	56	5
6	56	126
