#i	j	k
65	119	23
65	119	24
65	120	21
65	120	22
65	120	23
65	120	24
65	120	25
66	118	24
66	118	25
66	119	22
66	119	23
66	119	24
66	119	25
66	120	21
66	120	22
66	120	23
66	120	24
66	120	25
66	121	21
66	121	22
66	121	23
66	121	24
66	121	25
67	117	24
67	117	25
67	118	23
67	118	24
67	118	25
67	118	26
67	119	22
67	119	23
67	119	24
67	119	25
67	119	26
67	120	21
67	120	22
67	120	23
67	120	24
67	120	25
67	120	26
67	121	21
67	121	22
67	121	23
67	121	24
67	121	25
67	121	26
67	122	21
67	122	22
67	122	23
67	122	24
67	122	25
67	122	26
67	123	25
67	124	25
68	117	23
68	117	24
68	117	25
68	117	26
68	118	22
68	118	23
68	118	24
68	118	25
68	118	26
68	119	22
68	119	23
68	119	24
68	119	25
68	119	26
68	120	21
68	120	22
68	120	23
68	120	24
68	120	25
68	120	26
68	121	21
68	121	22
68	121	23
68	121	24
68	121	25
68	121	26
68	122	21
68	122	22
68	122	23
68	122	24
68	122	25
68	122	26
68	123	22
68	123	23
68	123	24
68	123	25
68	124	25
69	116	25
69	116	26
69	117	23
69	117	24
69	117	25
69	117	26
69	117	27
69	118	22
69	118	23
69	118	24
69	118	25
69	118	26
69	118	27
69	119	22
69	119	23
69	119	24
69	119	25
69	119	26
69	119	27
69	120	21
69	120	22
69	120	23
69	120	24
69	120	25
69	120	26
69	120	27
69	121	21
69	121	22
69	121	23
69	121	24
69	121	25
69	121	26
69	122	22
69	122	23
69	122	24
69	122	25
69	122	26
69	123	22
69	123	23
69	123	24
69	123	25
70	116	25
70	116	26
70	116	27
70	117	23
70	117	24
70	117	25
70	117	26
70	117	27
70	118	23
70	118	24
70	118	25
70	118	26
70	118	27
70	119	22
70	119	23
70	119	24
70	119	25
70	119	26
70	119	27
70	120	22
70	120	23
70	120	24
70	120	25
70	120	26
70	120	27
70	121	22
70	121	23
70	121	24
70	121	25
70	121	26
70	122	22
70	122	23
70	122	24
70	122	25
71	115	26
71	115	27
71	116	25
71	116	26
71	116	27
71	116	28
71	117	24
71	117	25
71	117	26
71	117	27
71	117	28
71	118	23
71	118	24
71	118	25
71	118	26
71	118	27
71	118	28
71	119	23
71	119	24
71	119	25
71	119	26
71	119	27
71	119	28
71	120	23
71	120	24
71	120	25
71	120	26
71	120	27
71	121	23
71	121	24
71	121	25
71	121	26
72	115	26
72	115	27
72	115	28
72	116	25
72	116	26
72	116	27
72	116	28
72	117	25
72	117	26
72	117	27
72	117	28
72	118	25
72	118	26
72	118	27
72	118	28
72	119	24
72	119	25
72	119	26
72	119	27
72	119	28
72	120	24
72	120	25
72	120	26
72	120	27
73	114	26
73	114	27
73	114	28
73	115	26
73	115	27
73	115	28
73	115	29
73	116	26
73	116	27
73	116	28
73	116	29
73	117	26
73	117	27
73	117	28
73	117	29
73	118	26
73	118	27
73	118	28
73	119	26
73	119	27
74	112	27
74	112	28
74	113	26
74	113	27
74	113	28
74	114	27
74	114	28
74	114	29
74	115	27
74	115	28
74	115	29
74	116	27
74	116	28
74	116	29
74	117	28
74	117	29
75	109	31
75	110	29
75	110	30
