#i	j	k
97	21	112
97	22	112
97	22	113
97	23	112
97	23	113
97	23	114
97	24	112
97	24	113
97	24	114
97	24	115
97	25	112
97	25	113
97	25	114
97	25	115
97	26	112
97	26	113
97	26	114
97	26	115
97	26	116
97	27	113
97	27	114
97	27	115
97	27	116
97	28	114
97	28	115
98	21	112
98	21	113
98	22	112
98	22	113
98	22	114
98	22	115
98	23	111
98	23	112
98	23	113
98	23	114
98	23	115
98	24	111
98	24	112
98	24	113
98	24	114
98	24	115
98	25	112
98	25	113
98	25	114
98	25	115
98	25	116
98	26	112
98	26	113
98	26	114
98	26	115
98	26	116
98	27	113
98	27	114
98	27	115
98	27	116
98	27	117
99	21	113
99	22	112
99	22	113
99	22	114
99	23	112
99	23	113
99	23	114
99	23	115
99	24	112
99	24	113
99	24	114
99	24	115
99	25	112
99	25	113
99	25	114
99	25	115
99	25	116
99	26	113
99	26	114
99	26	115
99	26	116
100	22	113
100	23	112
100	23	113
100	23	114
100	24	113
100	24	114
100	24	115
100	25	113
100	25	114
100	25	115
100	25	116
101	22	113
101	23	113
101	24	113
