#i	j	k
74	24	110
74	25	109
74	25	110
75	23	111
75	24	109
75	24	110
75	24	111
75	25	108
75	25	109
75	25	110
75	25	111
75	26	110
75	26	111
76	22	112
76	23	110
76	23	111
76	23	112
76	24	109
76	24	110
76	24	111
76	24	112
76	25	108
76	25	109
76	25	110
76	25	111
76	25	112
76	26	109
76	26	110
76	26	111
76	26	112
76	27	112
77	21	113
77	22	111
77	22	112
77	22	113
77	23	110
77	23	111
77	23	112
77	23	113
77	24	109
77	24	110
77	24	111
77	24	112
77	24	113
77	25	108
77	25	109
77	25	110
77	25	111
77	25	112
77	25	113
77	26	109
77	26	110
77	26	111
77	26	112
77	26	113
77	27	111
77	27	112
77	27	113
78	21	113
78	22	111
78	22	112
78	22	113
78	22	114
78	23	110
78	23	111
78	23	112
78	23	113
78	23	114
78	24	109
78	24	110
78	24	111
78	24	112
78	24	113
78	24	114
78	25	108
78	25	109
78	25	110
78	25	111
78	25	112
78	25	113
78	25	114
78	26	108
78	26	109
78	26	110
78	26	111
78	26	112
78	26	113
78	26	114
78	27	110
78	27	111
78	27	112
78	27	113
78	27	114
78	28	113
78	28	114
79	21	113
79	22	111
79	22	112
79	22	113
79	22	114
79	23	110
79	23	111
79	23	112
79	23	113
79	23	114
79	23	115
79	24	109
79	24	110
79	24	111
79	24	112
79	24	113
79	24	114
79	24	115
79	25	108
79	25	109
79	25	110
79	25	111
79	25	112
79	25	113
79	25	114
79	25	115
79	26	108
79	26	109
79	26	110
79	26	111
79	26	112
79	26	113
79	26	114
79	26	115
79	27	110
79	27	111
79	27	112
79	27	113
79	27	114
79	27	115
79	28	112
79	28	113
79	28	114
79	28	115
79	29	114
79	29	115
79	29	116
80	21	112
80	21	113
80	22	111
80	22	112
80	22	113
80	22	114
80	23	110
80	23	111
80	23	112
80	23	113
80	23	114
80	23	115
80	24	109
80	24	110
80	24	111
80	24	112
80	24	113
80	24	114
80	24	115
80	24	116
80	25	108
80	25	109
80	25	110
80	25	111
80	25	112
80	25	113
80	25	114
80	25	115
80	25	116
80	26	107
80	26	108
80	26	109
80	26	110
80	26	111
80	26	112
80	26	113
80	26	114
80	26	115
80	26	116
80	27	109
80	27	110
80	27	111
80	27	112
80	27	113
80	27	114
80	27	115
80	27	116
80	28	111
80	28	112
80	28	113
80	28	114
80	28	115
80	28	116
80	28	117
80	29	113
80	29	114
80	29	115
80	29	116
80	30	115
81	21	112
81	21	113
81	22	111
81	22	112
81	22	113
81	22	114
81	23	110
81	23	111
81	23	112
81	23	113
81	23	114
81	23	115
81	24	109
81	24	110
81	24	111
81	24	112
81	24	113
81	24	114
81	24	115
81	24	116
81	25	108
81	25	109
81	25	110
81	25	111
81	25	112
81	25	113
81	25	114
81	25	115
81	25	116
81	25	117
81	26	108
81	26	109
81	26	110
81	26	111
81	26	112
81	26	113
81	26	114
81	26	115
81	26	116
81	26	117
81	27	109
81	27	110
81	27	111
81	27	112
81	27	113
81	27	114
81	27	115
81	27	116
81	27	117
81	28	111
81	28	112
81	28	113
81	28	114
81	28	115
81	28	116
81	28	117
81	28	118
81	29	113
81	29	114
81	29	115
81	29	116
81	30	115
82	21	113
82	22	111
82	22	112
82	22	113
82	22	114
82	23	110
82	23	111
82	23	112
82	23	113
82	23	114
82	23	115
82	24	109
82	24	110
82	24	111
82	24	112
82	24	113
82	24	114
82	24	115
82	24	116
82	25	108
82	25	109
82	25	110
82	25	111
82	25	112
82	25	113
82	25	114
82	25	115
82	25	116
82	25	117
82	26	109
82	26	110
82	26	111
82	26	112
82	26	113
82	26	114
82	26	115
82	26	116
82	26	117
82	27	110
82	27	111
82	27	112
82	27	113
82	27	114
82	27	115
82	27	116
82	27	117
82	28	111
82	28	112
82	28	113
82	28	114
82	28	115
82	28	116
82	28	117
82	28	118
82	29	114
82	29	115
82	29	116
82	29	117
82	29	118
82	29	119
83	21	113
83	22	111
83	22	112
83	22	113
83	22	114
83	23	110
83	23	111
83	23	112
83	23	113
83	23	114
83	23	115
83	24	109
83	24	110
83	24	111
83	24	112
83	24	113
83	24	114
83	24	115
83	24	116
83	24	117
83	24	118
83	25	108
83	25	109
83	25	110
83	25	111
83	25	112
83	25	113
83	25	114
83	25	115
83	25	116
83	25	117
83	25	118
83	26	109
83	26	110
83	26	111
83	26	112
83	26	113
83	26	114
83	26	115
83	26	116
83	26	117
83	26	118
83	27	111
83	27	112
83	27	113
83	27	114
83	27	115
83	27	116
83	27	117
83	27	118
83	28	112
83	28	113
83	28	114
83	28	115
83	28	116
83	28	117
83	28	118
83	29	115
83	29	116
83	29	117
83	29	118
83	29	119
83	30	117
83	30	118
83	30	119
83	30	120
84	21	113
84	22	112
84	22	113
84	22	114
84	23	110
84	23	111
84	23	112
84	23	113
84	23	114
84	23	115
84	23	116
84	23	117
84	23	118
84	23	119
84	24	109
84	24	110
84	24	111
84	24	112
84	24	113
84	24	114
84	24	115
84	24	116
84	24	117
84	24	118
84	24	119
84	25	109
84	25	110
84	25	111
84	25	112
84	25	113
84	25	114
84	25	115
84	25	116
84	25	117
84	25	118
84	25	119
84	26	110
84	26	111
84	26	112
84	26	113
84	26	114
84	26	115
84	26	116
84	26	117
84	26	118
84	26	119
84	27	112
84	27	113
84	27	114
84	27	115
84	27	116
84	27	117
84	27	118
84	27	119
84	28	114
84	28	115
84	28	116
84	28	117
84	28	118
84	28	119
84	29	116
84	29	117
84	29	118
84	29	119
84	30	117
84	30	118
84	31	119
85	22	112
85	22	113
85	22	114
85	22	115
85	23	111
85	23	112
85	23	113
85	23	114
85	23	115
85	23	116
85	23	117
85	23	118
85	24	109
85	24	110
85	24	111
85	24	112
85	24	113
85	24	114
85	24	115
85	24	116
85	24	117
85	24	118
85	24	119
85	24	120
85	25	110
85	25	111
85	25	112
85	25	113
85	25	114
85	25	115
85	25	116
85	25	117
85	25	118
85	25	119
85	25	120
85	26	111
85	26	112
85	26	113
