#i	j	k
0	15	51
0	16	51
0	17	51
0	18	51
0	19	51
0	20	48
0	20	49
0	20	50
0	20	51
0	21	48
0	21	49
0	21	50
0	21	51
0	21	52
0	22	49
0	22	50
0	22	51
0	22	52
0	23	47
0	23	48
0	23	49
0	23	50
0	23	51
0	23	52
0	23	53
0	24	47
0	24	48
0	24	49
0	24	50
0	24	51
0	24	52
0	24	53
0	25	47
0	25	48
0	25	49
0	25	50
0	25	51
0	25	52
0	25	53
0	25	54
0	26	46
0	26	47
0	26	48
0	26	49
0	26	50
0	26	51
0	26	52
0	26	53
0	26	54
0	27	46
0	27	47
0	27	48
0	27	49
0	27	50
0	27	51
0	27	52
0	27	53
0	27	54
0	28	45
0	28	46
0	28	47
0	28	48
0	28	49
0	28	50
0	28	51
0	28	52
0	28	53
0	28	54
0	29	45
0	29	46
0	29	47
0	29	48
0	29	49
0	29	50
0	29	51
0	29	52
0	29	53
0	29	54
0	30	45
0	30	46
0	30	47
0	30	48
0	30	49
0	30	50
0	30	51
0	30	52
0	30	53
0	31	44
0	31	45
0	31	46
0	31	47
0	31	48
0	31	49
0	31	50
0	31	51
0	31	52
0	31	53
0	32	44
0	32	45
0	32	46
0	32	47
0	32	48
0	32	49
0	32	50
0	32	51
0	32	52
0	32	53
0	33	43
0	33	44
0	33	45
0	33	46
0	33	47
0	33	48
0	33	49
0	33	50
0	33	51
0	33	52
0	33	53
0	34	43
0	34	44
0	34	45
0	34	46
0	34	47
0	34	48
0	34	49
0	34	50
0	34	51
0	34	52
0	35	43
0	35	44
0	35	45
0	35	46
0	35	47
0	35	48
0	35	49
0	35	50
0	35	51
0	36	43
0	36	44
0	36	45
0	36	46
0	36	47
0	36	48
0	36	49
0	36	50
0	37	43
0	37	44
0	37	45
0	37	46
0	37	47
0	37	48
0	37	49
0	38	43
0	38	44
0	38	45
0	38	46
0	38	47
0	39	43
0	39	44
0	39	45
1	13	50
1	13	51
1	14	50
1	14	51
1	15	50
1	15	51
1	16	50
1	16	51
1	17	50
1	17	51
1	18	50
1	18	51
1	19	47
1	19	48
1	19	49
1	19	50
1	19	51
1	19	52
1	20	47
1	20	48
1	20	49
1	20	50
1	20	51
1	20	52
1	21	48
1	21	49
1	21	50
1	21	51
1	21	52
1	22	46
1	22	47
1	22	48
1	22	49
1	22	50
1	22	51
1	22	52
1	22	53
1	23	46
1	23	47
1	23	48
1	23	49
1	23	50
1	23	51
1	23	52
1	23	53
1	23	54
1	24	46
1	24	47
1	24	48
1	24	49
1	24	50
1	24	51
1	24	52
1	24	53
1	24	54
1	25	45
1	25	46
1	25	47
1	25	48
1	25	49
1	25	50
1	25	51
1	25	52
1	25	53
1	25	54
1	25	55
1	26	45
1	26	46
1	26	47
1	26	48
1	26	49
1	26	50
1	26	51
1	26	52
1	26	53
1	26	54
1	26	55
1	26	56
1	27	44
1	27	45
1	27	46
1	27	47
1	27	48
1	27	49
1	27	50
1	27	51
1	27	52
1	27	53
1	27	54
1	27	55
1	27	56
1	28	44
1	28	45
1	28	46
1	28	47
1	28	48
1	28	49
1	28	50
1	28	51
1	28	52
1	28	53
1	28	54
1	28	55
1	28	56
1	29	44
1	29	45
1	29	46
1	29	47
1	29	48
1	29	49
1	29	50
1	29	51
1	29	52
1	29	53
1	29	54
1	29	55
1	29	56
1	30	43
1	30	44
1	30	45
1	30	46
1	30	47
1	30	48
1	30	49
1	30	50
1	30	51
1	30	52
1	30	53
1	30	54
1	30	55
1	31	43
1	31	44
1	31	45
1	31	46
1	31	47
1	31	48
1	31	49
1	31	50
1	31	51
1	31	52
1	31	53
1	31	54
1	31	55
1	32	42
1	32	43
1	32	44
1	32	45
1	32	46
1	32	47
1	32	48
1	32	49
1	32	50
1	32	51
1	32	52
1	32	53
1	32	54
1	33	42
1	33	43
1	33	44
1	33	45
1	33	46
1	33	47
1	33	48
1	33	49
1	33	50
1	33	51
1	33	52
1	33	53
1	33	54
1	34	42
1	34	43
1	34	44
1	34	45
1	34	46
1	34	47
1	34	48
1	34	49
1	34	50
1	34	51
1	34	52
1	34	53
1	35	42
1	35	43
1	35	44
1	35	45
1	35	46
1	35	47
1	35	48
1	35	49
1	35	50
1	35	51
1	35	52
1	35	53
1	36	42
1	36	43
1	36	44
1	36	45
1	36	46
1	36	47
1	36	48
1	36	49
1	36	50
1	36	51
1	36	52
1	37	42
1	37	43
1	37	44
1	37	45
1	37	46
1	37	47
1	37	48
1	37	49
1	37	50
1	37	51
1	37	52
1	38	42
1	38	43
1	38	44
1	38	45
1	38	46
1	38	47
1	38	48
1	38	49
1	38	50
1	39	42
1	39	43
1	39	44
1	39	45
1	39	46
1	39	47
1	39	48
1	40	44
1	40	45
1	40	46
2	12	51
2	13	50
2	13	51
2	14	49
2	14	50
2	14	51
2	15	49
2	15	50
2	15	51
2	15	52
2	16	49
2	16	50
2	16	51
2	16	52
2	17	49
2	17	50
2	17	51
2	17	52
2	18	47
2	18	48
2	18	49
2	18	50
2	18	51
2	18	52
2	19	46
2	19	47
2	19	48
2	19	49
2	19	50
2	19	51
2	19	52
2	20	47
2	20	48
2	20	49
2	20	50
2	20	51
2	20	52
2	21	45
2	21	46
2	21	47
2	21	48
2	21	49
2	21	50
2	21	51
2	21	52
2	21	53
2	22	45
2	22	46
2	22	47
