#i	j	k
0	4	51
0	5	50
0	5	51
0	6	50
0	6	51
0	7	50
0	7	51
0	8	49
0	8	50
1	4	50
1	4	51
1	5	50
1	5	51
1	5	52
1	6	49
1	6	50
1	6	51
1	6	52
1	7	49
1	7	50
1	7	51
1	7	52
1	8	49
1	8	50
1	8	51
1	8	52
2	4	50
2	4	51
2	5	49
2	5	50
2	5	51
2	5	52
2	6	49
2	6	50
2	6	51
2	6	52
2	7	50
2	7	51
2	7	52
3	3	51
3	3	52
3	3	53
3	3	54
3	4	49
3	4	50
3	4	51
3	5	48
3	5	49
3	5	50
3	5	51
3	5	52
3	5	53
3	6	49
3	6	50
3	6	51
3	6	52
3	6	53
3	7	50
3	7	51
3	7	52
3	7	53
4	2	54
4	2	55
4	2	56
4	2	57
4	3	51
4	3	52
4	3	53
4	3	54
4	4	49
4	4	50
4	4	51
4	4	52
4	4	53
4	4	54
4	5	49
4	5	50
4	5	51
4	5	52
4	5	53
4	5	54
4	6	49
4	6	50
4	6	51
4	6	52
4	6	53
4	6	54
5	1	56
5	2	53
5	2	54
5	2	55
5	2	56
5	2	57
5	2	58
5	3	51
5	3	52
5	3	53
5	3	54
5	3	55
5	3	56
5	3	57
5	3	58
5	3	59
5	4	49
5	4	50
5	4	51
5	4	52
5	4	53
5	4	54
5	4	55
5	4	60
5	5	49
5	5	50
5	5	51
5	5	52
5	5	53
5	5	54
5	5	55
5	5	61
5	6	50
5	6	51
5	6	52
5	6	61
5	7	61
5	7	62
5	8	61
6	2	54
6	2	55
6	2	56
6	2	57
6	2	58
6	3	51
6	3	52
6	3	53
6	3	54
6	3	56
6	3	57
6	3	58
6	3	59
6	3	60
6	4	49
6	4	50
6	4	51
6	4	52
6	4	53
6	4	54
6	4	55
6	4	56
6	4	57
6	4	58
6	4	59
6	4	60
6	4	61
6	5	49
6	5	50
6	5	51
6	5	52
6	5	59
6	5	60
6	5	61
6	5	62
6	6	60
6	6	61
6	6	62
6	7	60
6	7	61
6	7	62
6	8	61
7	2	55
7	2	56
7	2	57
7	2	58
7	3	51
7	3	52
7	3	53
7	3	54
7	3	55
7	3	56
7	3	57
7	3	58
7	3	59
7	3	60
7	3	61
7	4	50
7	4	51
7	4	52
7	4	53
7	4	57
7	4	58
7	4	59
7	4	60
7	4	61
7	4	62
7	5	58
7	5	59
7	5	60
7	5	61
7	5	62
7	6	59
7	6	60
7	6	61
7	6	62
7	7	60
7	7	61
7	7	62
7	8	61
8	2	56
8	2	57
8	2	58
8	3	51
8	3	52
8	3	56
8	3	57
8	3	58
8	3	59
8	3	60
8	3	61
8	3	62
8	4	57
8	4	58
8	4	59
8	4	60
8	4	61
8	4	62
8	4	63
8	5	58
8	5	59
8	5	60
8	5	61
8	5	62
8	6	59
8	6	60
8	6	61
8	6	62
8	7	60
8	7	61
8	7	62
8	8	61
9	2	57
9	2	58
9	2	62
9	3	56
9	3	57
9	3	58
9	3	59
9	3	60
9	3	61
9	3	62
9	3	63
9	4	57
9	4	58
9	4	59
9	4	60
9	4	61
9	4	62
9	4	63
9	5	58
9	5	59
9	5	60
9	5	61
9	5	62
9	5	63
9	6	59
9	6	60
9	6	61
9	6	62
9	6	63
9	7	60
9	7	61
9	7	62
9	8	61
10	2	0
10	2	57
10	2	58
10	2	59
10	2	60
10	2	61
10	2	62
10	2	63
10	3	0
10	3	56
10	3	57
10	3	58
10	3	59
10	3	60
10	3	61
10	3	62
10	3	63
10	4	0
10	4	57
10	4	58
10	4	59
10	4	60
10	4	61
10	4	62
10	4	63
10	5	0
10	5	58
10	5	59
10	5	60
10	5	61
10	5	62
10	5	63
10	6	59
10	6	60
10	6	61
10	6	62
10	6	63
10	7	60
10	7	61
10	7	62
10	8	61
11	1	0
11	1	1
11	1	63
11	2	0
11	2	1
11	2	58
11	2	59
11	2	60
11	2	61
11	2	62
11	2	63
11	3	0
11	3	1
11	3	56
11	3	57
11	3	58
11	3	59
11	3	60
11	3	61
11	3	62
11	3	63
11	4	0
11	4	57
11	4	58
11	4	59
11	4	60
11	4	61
11	4	62
11	4	63
11	5	0
11	5	58
11	5	59
11	5	60
11	5	61
11	5	62
11	5	63
11	6	60
11	6	61
11	6	62
11	7	61
12	0	1
12	0	2
12	0	3
12	0	4
12	1	0
12	1	1
12	1	2
12	1	3
12	1	4
12	1	63
12	2	0
12	2	1
12	2	2
12	2	3
12	2	60
12	2	61
12	2	62
12	2	63
12	3	0
12	3	1
12	3	2
12	3	57
12	3	58
12	3	59
12	3	60
12	3	61
12	3	62
12	3	63
12	4	0
12	4	57
12	4	58
12	4	59
12	4	60
12	4	61
12	4	62
12	4	63
12	5	0
12	5	58
12	5	59
12	5	60
12	5	61
12	5	62
12	6	61
12	63	3
12	63	4
13	0	2
13	0	3
13	0	4
13	0	5
13	1	0
13	1	1
13	1	2
13	1	3
13	1	4
13	1	5
13	2	0
13	2	1
13	2	2
13	2	3
13	2	4
13	2	61
13	2	62
13	2	63
13	3	0
13	3	1
13	3	2
13	3	58
13	3	59
13	3	60
13	3	61
13	3	62
13	3	63
13	4	0
13	4	57
13	4	58
13	4	59
13	4	60
13	4	61
13	4	62
13	4	63
13	5	0
13	5	59
13	5	60
13	5	61
13	6	61
13	63	3
13	63	4
13	63	5
14	0	2
14	0	3
14	0	4
14	0	5
14	1	0
14	1	1
14	1	2
14	1	3
14	1	4
14	1	5
14	2	0
14	2	1
14	2	2
14	2	3
14	2	4
14	2	62
14	2	63
14	3	0
14	3	1
14	3	2
14	3	3
14	3	59
14	3	60
14	3	61
14	3	62
14	3	63
14	4	0
14	4	58
14	4	59
14	4	60
14	4	61
14	4	62
14	4	63
14	5	0
14	5	59
14	5	60
14	63	3
14	63	4
14	63	5
15	0	2
15	0	3
15	0	4
15	0	5
15	1	2
15	1	3
15	1	4
15	1	5
15	2	1
15	2	2
15	2	3
15	2	4
15	3	0
15	3	1
15	3	2
15	3	3
15	3	62
15	3	63
15	4	0
15	4	59
15	4	61
15	4	62
15	4	63
15	63	3
15	63	4
15	63	5
16	0	3
16	0	4
16	0	5
16	0	6
16	1	2
16	1	3
16	1	4
16	1	5
16	1	6
16	2	2
16	2	3
16	2	4
16	3	2
16	4	0
16	4	62
16	4	63
16	63	3
16	63	4
16	63	5
16	63	6
17	0	3
17	0	4
17	0	5
17	1	3
17	1	4
17	2	3
17	62	4
17	62	5
17	63	4
17	63	5
18	0	4
18	0	5
18	1	4
18	63	4
18	63	5
