#i	j	k
13	124	59
13	124	60
13	124	61
13	125	60
13	125	61
13	125	62
14	0	72
14	0	73
14	0	74
14	1	73
14	1	74
14	1	75
14	123	58
14	123	59
14	123	60
14	123	61
14	124	58
14	124	59
14	124	60
14	124	61
14	124	62
14	124	63
14	125	58
14	125	59
14	125	60
14	125	61
14	125	62
14	125	63
14	125	64
14	126	61
14	126	62
14	126	63
14	127	72
14	127	73
15	0	70
15	0	71
15	0	72
15	0	73
15	0	74
15	1	71
15	1	72
15	1	73
15	1	74
15	1	75
15	123	58
15	123	59
15	123	60
15	123	61
15	123	62
15	123	63
15	124	58
15	124	59
15	124	60
15	124	61
15	124	62
15	124	63
15	124	64
15	125	58
15	125	59
15	125	60
15	125	61
15	125	62
15	125	63
15	125	64
15	125	65
15	126	59
15	126	60
15	126	61
15	126	62
15	126	63
15	126	64
15	126	65
15	127	61
15	127	62
15	127	63
15	127	64
15	127	72
15	127	73
16	0	61
16	0	62
16	0	63
16	0	64
16	0	65
16	0	69
16	0	70
16	0	71
16	0	72
16	0	73
16	0	74
16	1	70
16	1	71
16	1	72
16	1	73
16	122	60
16	122	61
16	122	62
16	123	58
16	123	59
16	123	60
16	123	61
16	123	62
16	123	63
16	123	64
16	124	58
16	124	59
16	124	60
16	124	61
16	124	62
16	124	63
16	124	64
16	124	65
16	125	58
16	125	59
16	125	60
16	125	61
16	125	62
16	125	63
16	125	64
16	125	65
16	125	66
16	126	59
16	126	60
16	126	61
16	126	62
16	126	63
16	126	64
16	126	65
16	126	66
16	126	67
16	127	60
16	127	61
16	127	62
16	127	63
16	127	64
16	127	65
16	127	66
16	127	67
16	127	68
17	0	60
17	0	61
17	0	62
17	0	63
17	0	64
17	0	65
17	0	66
17	0	67
17	0	68
17	1	61
17	1	62
17	1	63
17	1	64
17	1	65
17	122	59
17	122	60
17	122	61
17	122	62
17	122	63
17	123	58
17	123	59
17	123	60
17	123	61
17	123	62
17	123	63
17	123	64
17	123	65
17	124	58
17	124	59
17	124	60
17	124	61
17	124	62
17	124	63
17	124	64
17	124	65
17	124	66
17	125	58
17	125	59
17	125	60
17	125	61
17	125	62
17	125	63
17	125	64
17	125	65
17	125	66
17	125	67
17	126	58
17	126	59
17	126	60
17	126	61
17	126	62
17	126	63
17	126	64
17	126	65
17	126	66
17	126	67
17	127	59
17	127	60
17	127	61
17	127	62
17	127	63
17	127	64
17	127	65
17	127	66
17	127	67
17	127	68
18	0	59
18	0	60
18	0	61
18	0	62
18	0	63
18	0	64
18	0	65
18	0	66
18	0	67
18	0	68
18	1	60
18	1	61
18	1	62
18	1	63
18	1	64
18	1	65
18	1	66
18	1	67
18	1	68
18	2	60
18	2	61
18	2	62
18	2	63
18	2	64
18	2	65
18	3	62
18	122	58
18	122	59
18	122	60
18	122	61
18	122	62
18	122	63
18	122	64
18	123	57
18	123	58
18	123	59
18	123	60
18	123	61
18	123	62
18	123	63
18	123	64
18	123	65
18	124	57
18	124	58
18	124	59
18	124	60
18	124	61
18	124	62
18	124	63
18	124	64
18	124	65
18	124	66
18	125	58
18	125	59
18	125	60
18	125	61
18	125	62
18	125	63
18	125	64
18	125	65
18	125	66
18	125	67
18	126	58
18	126	59
18	126	60
18	126	61
18	126	62
18	126	63
18	126	64
18	126	65
18	126	66
18	126	67
18	127	58
18	127	59
18	127	60
18	127	61
18	127	62
18	127	63
18	127	64
18	127	65
18	127	66
18	127	67
18	127	68
19	0	58
19	0	59
19	0	60
19	0	61
19	0	62
19	0	63
19	0	64
19	0	65
19	0	66
19	0	67
19	0	68
19	1	59
19	1	60
19	1	61
19	1	62
19	1	63
19	1	64
19	1	65
19	1	66
19	1	67
19	1	68
19	2	60
19	2	61
19	2	62
19	2	63
19	2	64
19	2	65
19	2	66
