#i	j	k
32	46	19
33	45	15
33	46	15
33	46	16
33	46	17
33	47	17
33	47	18
33	47	19
33	47	20
33	48	18
33	48	19
33	48	20
33	48	21
34	46	15
34	47	18
34	47	19
34	47	20
34	48	17
34	48	18
34	48	19
34	48	20
34	48	21
34	49	20
35	47	19
35	47	20
35	48	18
35	48	19
35	48	20
35	48	21
35	49	19
35	49	20
35	49	21
35	49	23
35	49	24
36	47	19
36	47	20
36	48	18
36	48	19
36	48	20
36	48	21
36	48	22
36	48	23
36	49	18
36	49	19
36	49	20
36	49	21
36	49	22
36	49	23
36	49	24
37	46	22
37	47	19
37	47	20
37	47	21
37	47	22
37	48	18
37	48	19
37	48	20
37	48	21
37	48	22
37	48	23
37	49	18
37	49	19
37	49	20
37	49	21
37	49	22
37	49	23
37	49	24
37	50	24
38	45	22
38	46	19
38	46	20
38	46	21
38	46	22
38	46	23
38	47	19
38	47	20
38	47	21
38	47	22
38	47	23
38	48	18
38	48	19
38	48	20
38	48	21
38	48	22
38	48	23
38	49	19
38	49	20
38	49	21
38	49	22
38	49	23
38	49	24
38	49	25
38	50	24
38	50	25
39	44	23
39	45	20
39	45	21
39	45	22
39	45	23
39	46	19
39	46	20
39	46	21
39	46	22
39	46	23
39	47	19
39	47	20
39	47	21
39	47	22
39	47	23
39	48	19
39	48	20
39	48	21
39	48	22
39	48	23
39	48	24
39	49	20
39	49	21
39	49	22
39	49	23
39	49	24
39	49	25
39	50	24
39	50	25
40	44	21
40	44	22
40	44	23
40	45	21
40	45	22
40	45	23
40	45	24
40	46	20
40	46	21
40	46	22
40	46	23
40	47	20
40	47	21
40	47	22
40	47	23
40	48	19
40	48	20
40	48	21
40	48	22
40	48	23
40	48	24
40	49	21
40	49	22
40	49	23
40	49	24
40	49	25
40	50	25
41	45	24
41	45	25
41	46	20
41	46	24
41	46	25
41	47	20
41	47	21
41	47	22
41	47	23
41	47	24
41	48	20
41	48	21
41	48	22
41	48	23
41	48	24
41	49	24
42	46	25
42	46	26
42	47	22
42	47	23
42	47	24
42	47	25
42	47	26
42	47	27
42	48	20
42	48	21
42	48	22
42	48	23
42	48	24
43	47	24
43	47	25
43	47	26
