#i	j	k
18	106	38
18	106	39
18	107	38
18	107	39
18	108	38
18	108	39
19	105	40
19	106	38
19	106	39
19	106	40
19	107	37
19	107	38
19	107	39
19	107	40
19	108	37
19	108	38
19	108	39
19	108	40
19	109	36
19	109	37
19	109	38
19	109	39
19	109	40
19	110	38
20	105	40
20	105	41
20	106	39
20	106	40
20	106	41
20	107	38
20	107	39
20	107	40
20	107	41
20	108	37
20	108	38
20	108	39
20	108	40
20	108	41
20	109	37
20	109	38
20	109	39
20	109	40
20	109	41
20	110	36
20	110	37
20	110	38
20	110	39
20	110	40
20	111	37
20	111	38
20	111	39
21	105	40
21	105	41
21	106	39
21	106	40
21	106	41
21	106	42
21	107	38
21	107	39
21	107	40
21	107	41
21	107	42
21	108	37
21	108	38
21	108	39
21	108	40
21	108	41
21	108	42
21	109	37
21	109	38
21	109	39
21	109	40
21	109	41
21	110	36
21	110	37
21	110	38
21	110	39
21	110	40
21	110	41
21	111	34
21	111	35
21	111	36
21	111	37
21	111	38
21	111	39
21	111	40
21	112	35
21	112	36
21	112	37
21	112	38
21	112	39
22	105	40
22	105	41
22	105	42
22	106	39
22	106	40
22	106	41
22	106	42
22	107	38
22	107	39
22	107	40
22	107	41
22	107	42
22	108	37
22	108	38
22	108	39
22	108	40
22	108	41
22	108	42
22	109	37
22	109	38
22	109	39
22	109	40
22	109	41
22	109	42
22	110	35
22	110	36
22	110	37
22	110	38
22	110	39
22	110	40
22	110	41
22	111	34
22	111	35
22	111	36
22	111	37
22	111	38
22	111	39
22	111	40
22	111	41
22	112	33
22	112	34
22	112	35
22	112	36
22	112	37
22	112	38
22	112	39
22	112	40
22	112	41
22	113	31
22	113	32
22	113	33
22	113	34
22	113	35
22	113	36
22	113	37
22	113	38
22	113	39
22	114	33
23	105	40
23	105	41
23	105	42
23	106	39
23	106	40
23	106	41
23	106	42
23	107	38
23	107	39
23	107	40
23	107	41
23	107	42
23	108	38
23	108	39
23	108	40
23	108	41
23	108	42
23	109	37
23	109	38
23	109	39
23	109	40
23	109	41
23	110	35
23	110	36
23	110	37
23	110	38
23	110	39
23	110	40
23	110	41
23	111	34
23	111	35
23	111	36
23	111	37
23	111	38
23	111	39
23	111	40
23	111	41
23	112	32
23	112	33
23	112	34
23	112	35
23	112	36
23	112	37
23	112	38
23	112	39
23	112	40
23	112	41
23	113	31
23	113	32
23	113	33
23	113	34
23	113	35
23	113	36
23	113	37
23	113	38
23	113	39
23	113	40
23	113	41
23	114	31
23	114	32
23	114	33
23	114	34
23	114	35
23	115	31
23	115	32
23	115	33
24	107	39
24	107	40
24	107	41
24	107	42
24	108	38
24	108	39
24	108	40
24	108	41
24	108	42
24	109	37
24	109	38
24	109	39
24	109	40
24	109	41
24	110	35
24	110	36
24	110	37
24	110	38
24	110	39
24	110	40
24	110	41
24	111	34
24	111	35
24	111	36
24	111	37
24	111	38
24	111	39
24	111	40
24	111	41
24	112	32
24	112	33
24	112	34
24	112	35
24	112	36
24	112	37
24	112	38
24	112	39
24	112	40
24	112	41
24	113	31
24	113	32
24	113	33
24	113	34
24	113	35
24	113	36
24	113	37
24	113	38
24	113	39
24	113	40
24	113	41
24	114	31
24	114	32
24	114	33
24	114	34
24	114	35
24	115	32
24	115	33
24	115	34
25	109	37
25	110	34
25	110	35
25	110	36
25	110	37
25	111	33
25	111	34
25	111	35
25	111	36
25	111	37
25	111	38
25	112	32
25	112	33
25	112	34
25	112	35
25	112	36
25	112	37
25	112	38
25	113	32
25	113	33
25	113	34
25	113	35
25	113	36
25	113	37
25	114	32
25	114	33
25	114	34
25	114	35
25	115	32
26	110	34
26	110	35
26	110	36
26	111	33
26	111	34
26	111	35
26	111	36
26	112	33
26	113	33
26	114	32
26	114	33
26	115	32
