#i	j	k
42	2	39
42	3	39
42	4	38
42	4	39
42	4	40
42	4	41
42	5	37
42	5	38
42	5	39
42	5	40
42	5	41
42	5	42
42	6	37
42	6	38
42	6	39
42	6	40
42	6	41
42	6	42
42	7	38
42	7	39
42	7	40
42	7	41
42	7	42
42	8	40
42	8	41
42	8	42
43	3	37
43	3	38
43	3	39
43	3	40
43	3	41
43	4	36
43	4	37
43	4	38
43	4	39
43	4	40
43	4	41
43	5	36
43	5	37
43	5	38
43	5	39
43	5	40
43	5	41
43	6	35
43	6	36
43	6	37
43	6	38
43	6	39
43	6	40
43	6	41
43	7	35
43	7	36
43	7	37
43	7	38
43	7	39
43	7	40
43	7	41
43	8	35
43	8	36
43	8	37
43	8	38
43	8	39
43	8	40
43	8	41
43	9	23
43	9	24
43	9	36
43	9	37
43	9	38
43	9	39
43	9	40
44	4	35
44	4	36
44	4	37
44	4	38
44	4	39
44	4	40
44	5	34
44	5	35
44	5	36
44	5	37
44	5	38
44	5	39
44	5	40
44	6	33
44	6	34
44	6	35
44	6	36
44	6	37
44	6	38
44	6	39
44	6	40
44	7	32
44	7	33
44	7	34
44	7	35
44	7	36
44	7	37
44	7	38
44	7	39
44	7	40
44	8	23
44	8	24
44	8	25
44	8	26
44	8	27
44	8	28
44	8	29
44	8	30
44	8	31
44	8	32
44	8	33
44	8	34
44	8	35
44	8	36
44	8	37
44	8	38
44	8	39
44	8	40
44	9	22
44	9	23
44	9	24
44	9	25
44	9	26
44	9	27
44	9	28
44	9	29
44	9	30
44	9	31
44	9	32
44	9	33
44	9	34
44	9	35
44	9	36
44	9	37
44	9	38
44	9	39
44	9	40
44	10	23
44	10	24
44	10	25
44	10	26
44	10	27
44	10	28
44	10	29
44	10	30
44	10	31
44	10	32
44	10	33
44	10	34
44	10	35
44	10	36
44	10	37
44	10	38
44	10	39
45	4	33
45	4	34
45	4	35
45	5	32
45	5	33
45	5	34
45	5	35
45	5	36
45	5	37
45	5	38
45	5	39
45	6	30
45	6	31
45	6	32
45	6	33
45	6	34
45	6	35
45	6	36
45	6	37
45	6	38
45	6	39
45	7	23
45	7	24
45	7	25
45	7	26
45	7	27
45	7	28
45	7	29
45	7	30
45	7	31
45	7	32
45	7	33
45	7	34
45	7	35
45	7	36
45	7	37
45	7	38
45	7	39
45	8	23
45	8	24
45	8	25
45	8	26
45	8	27
45	8	28
45	8	29
45	8	30
45	8	31
45	8	32
45	8	33
45	8	34
45	8	35
45	8	36
45	8	37
45	8	38
45	8	39
45	9	23
45	9	24
45	9	25
45	9	26
45	9	27
45	9	28
45	9	29
45	9	30
45	9	31
45	9	32
45	9	33
45	9	34
45	9	35
45	9	36
45	9	37
45	9	38
45	9	39
45	10	24
45	10	25
45	10	26
45	10	27
45	10	28
45	10	29
45	10	30
45	10	31
45	10	32
45	10	33
45	10	34
45	10	35
45	10	36
45	10	37
45	10	38
45	10	39
45	11	26
45	11	27
45	11	28
45	11	29
45	11	30
45	11	31
45	11	32
45	11	33
45	11	34
45	11	35
45	11	36
45	11	37
45	11	38
46	3	33
46	3	34
46	4	32
46	4	33
46	4	34
46	4	35
46	5	30
46	5	31
46	5	32
46	5	33
46	5	34
46	5	35
46	5	36
46	6	25
46	6	26
46	6	27
46	6	28
