#i	j	k
10	23	24
10	23	25
10	23	26
10	24	25
10	24	26
10	24	27
11	22	23
11	22	24
11	22	25
11	22	29
11	22	30
11	22	31
11	23	23
11	23	24
11	23	25
11	23	26
11	23	29
11	23	30
11	24	24
11	24	25
11	24	26
11	24	27
11	25	24
11	25	25
11	25	26
11	25	27
11	26	24
11	26	25
11	26	26
11	26	27
12	21	23
12	21	24
12	21	25
12	21	30
12	21	31
12	22	23
12	22	24
12	22	25
12	22	26
12	22	29
12	22	30
12	22	31
12	22	32
12	22	33
12	23	23
12	23	24
12	23	25
12	23	26
12	23	27
12	23	28
12	23	29
12	23	30
12	23	31
12	23	32
12	23	33
12	24	23
12	24	24
12	24	25
12	24	26
12	24	27
12	24	28
12	24	29
12	24	30
12	24	31
12	24	32
12	25	24
12	25	25
12	25	26
12	25	27
12	25	28
12	25	29
12	25	30
12	25	31
12	25	32
12	26	24
12	26	25
12	26	26
12	26	27
12	26	28
12	26	29
12	26	30
12	26	31
12	26	32
12	27	27
12	27	29
12	27	30
12	27	31
12	27	32
12	28	32
13	20	29
13	21	23
13	21	24
13	21	25
13	21	26
13	21	28
13	21	29
13	21	30
13	21	31
13	21	32
13	22	23
13	22	24
13	22	25
13	22	26
13	22	27
13	22	28
13	22	29
13	22	30
13	22	31
13	22	32
13	22	33
13	23	23
13	23	24
13	23	25
13	23	26
13	23	27
13	23	28
13	23	29
13	23	30
13	23	31
13	23	32
13	23	33
13	23	34
13	24	23
13	24	24
13	24	25
13	24	26
13	24	27
13	24	28
13	24	29
13	24	30
13	24	31
13	24	32
13	24	33
13	24	34
13	25	24
13	25	25
13	25	26
13	25	27
13	25	28
13	25	29
13	25	30
13	25	31
13	25	32
13	25	33
13	25	34
13	26	26
13	26	27
13	26	28
13	26	29
13	26	30
13	26	31
13	26	32
13	26	33
13	26	34
13	27	28
13	27	29
13	27	30
13	27	31
13	27	32
13	27	33
13	27	34
13	28	31
13	28	32
13	28	33
14	19	27
14	19	28
14	19	29
14	19	30
14	20	22
14	20	23
14	20	24
14	20	25
14	20	26
14	20	27
14	20	28
14	20	29
14	20	30
14	20	31
14	21	22
14	21	23
14	21	24
14	21	25
14	21	26
14	21	27
14	21	28
14	21	29
14	21	30
14	21	31
14	21	32
14	22	23
14	22	24
14	22	25
14	22	26
14	22	27
14	22	28
14	22	29
14	22	30
14	22	31
14	22	32
14	22	33
14	23	23
14	23	24
14	23	25
14	23	26
14	23	27
14	23	28
14	23	29
14	23	30
14	23	31
14	23	32
14	23	33
14	23	34
14	24	24
14	24	25
14	24	26
14	24	27
14	24	28
14	24	29
14	24	30
14	24	31
14	24	32
14	24	33
14	24	34
14	24	35
14	25	26
14	25	27
14	25	28
14	25	29
14	25	30
14	25	31
14	25	32
14	25	33
14	25	34
14	25	35
14	26	27
14	26	28
14	26	29
14	26	30
14	26	31
14	26	32
14	26	33
14	26	34
14	26	35
14	27	29
14	27	30
14	27	31
14	27	32
14	27	33
14	27	34
14	28	31
14	28	32
14	28	33
15	18	27
15	19	25
15	19	26
15	19	27
15	19	28
15	19	29
15	19	30
15	20	23
15	20	24
15	20	25
15	20	26
15	20	27
15	20	28
15	20	29
15	20	30
15	20	31
15	21	23
15	21	24
15	21	25
15	21	26
15	21	27
15	21	28
15	21	29
15	21	30
15	21	31
15	21	32
15	22	24
15	22	25
15	22	26
15	22	27
15	22	28
15	22	29
15	22	30
15	22	31
15	22	32
15	22	33
15	23	24
15	23	25
15	23	26
15	23	27
15	23	28
15	23	29
15	23	30
15	23	31
15	23	32
15	23	33
15	23	34
15	24	25
15	24	26
15	24	27
15	24	28
15	24	29
15	24	30
15	24	31
15	24	32
15	24	33
15	24	34
15	24	35
15	25	26
15	25	27
15	25	28
15	25	29
15	25	30
15	25	31
15	25	32
15	25	33
15	25	34
15	25	35
15	25	36
15	26	28
15	26	29
15	26	30
15	26	31
15	26	32
15	26	33
15	26	34
15	26	35
15	26	36
15	27	29
15	27	30
15	27	31
15	27	32
15	27	33
15	27	34
15	27	35
15	28	32
15	28	33
16	19	24
16	19	25
16	19	26
16	19	27
16	19	28
16	19	29
16	19	30
16	20	24
16	20	25
16	20	26
16	20	27
16	20	28
16	20	29
16	20	30
16	20	31
16	21	24
16	21	25
16	21	26
16	21	27
16	21	28
16	21	29
16	21	30
16	21	31
16	21	32
16	22	24
16	22	25
16	22	26
16	22	27
16	22	28
16	22	29
16	22	30
16	22	31
16	22	32
16	22	33
16	23	25
16	23	26
16	23	27
16	23	28
16	23	29
16	23	30
16	23	31
16	23	32
16	23	33
16	23	34
16	24	25
16	24	26
16	24	27
16	24	28
16	24	29
16	24	30
16	24	31
16	24	32
16	24	33
16	24	34
16	24	35
16	25	26
16	25	27
16	25	28
16	25	29
16	25	30
16	25	31
16	25	32
16	25	33
16	25	34
16	25	35
16	25	36
16	26	28
16	26	29
16	26	30
16	26	31
16	26	32
16	26	33
16	26	34
16	26	35
16	26	36
16	27	30
16	27	31
16	27	32
16	27	33
16	27	34
16	27	35
17	18	29
17	18	30
17	18	31
17	19	24
17	19	26
17	19	27
17	19	28
17	19	29
17	19	30
17	19	31
17	20	25
17	20	26
17	20	27
17	20	28
17	20	29
17	20	30
17	20	31
17	21	24
17	21	25
17	21	26
17	21	27
17	21	28
17	21	29
17	21	30
17	21	31
17	21	32
17	22	25
17	22	26
17	22	27
17	22	28
17	22	29
17	22	30
17	22	31
17	22	32
17	22	33
17	23	25
17	23	26
17	23	27
17	23	28
17	23	29
17	23	30
17	23	31
17	23	32
17	23	33
17	23	34
17	24	26
17	24	27
17	24	28
17	24	29
17	24	30
17	24	31
17	24	32
17	24	33
17	24	34
17	24	35
17	25	27
17	25	28
17	25	29
17	25	30
17	25	31
17	25	32
17	25	33
17	25	34
17	25	35
17	25	36
17	26	29
17	26	30
17	26	31
17	26	32
17	26	33
17	26	34
17	26	35
17	26	36
17	26	37
17	27	31
17	27	32
17	27	33
17	27	34
17	27	35
17	27	36
18	19	27
18	20	26
18	20	27
18	20	28
18	20	29
18	20	30
18	21	25
18	21	26
18	21	27
18	21	28
18	21	29
18	21	30
18	21	31
18	21	32
18	22	25
18	22	26
18	22	27
18	22	28
18	22	29
18	22	30
18	22	31
18	22	32
18	22	33
18	23	26
18	23	27
18	23	28
18	23	29
18	23	30
18	23	31
18	23	32
18	23	33
18	23	34
18	24	26
18	24	27
18	24	28
18	24	29
18	24	30
18	24	31
18	24	32
18	24	33
18	24	34
18	24	35
18	25	28
18	25	29
18	25	30
18	25	31
18	25	32
18	25	33
18	25	34
18	25	35
18	25	36
18	26	31
18	26	32
18	26	33
18	26	34
18	26	35
18	26	36
18	26	37
18	27	32
18	27	33
18	27	34
18	27	35
18	27	36
18	27	37
19	21	26
19	21	27
19	21	28
19	21	29
19	21	30
19	21	31
19	22	26
19	22	27
19	22	28
19	22	29
19	22	30
19	22	31
19	22	32
19	22	33
19	23	27
19	23	28
19	23	29
19	23	30
19	23	31
19	23	32
19	23	33
19	23	34
19	24	28
19	24	29
19	24	30
19	24	31
19	24	32
19	24	33
19	24	34
19	24	35
19	25	30
19	25	31
19	25	32
19	25	33
19	25	34
19	25	35
19	25	36
19	26	31
19	26	32
19	26	33
19	26	34
19	26	35
19	26	36
19	26	37
19	27	33
19	27	34
19	27	35
19	27	36
19	27	37
20	21	34
20	22	28
20	22	29
20	22	30
20	22	31
20	22	32
20	22	34
20	23	29
20	23	30
20	23	31
20	23	32
20	23	33
20	23	34
20	24	29
20	24	30
20	24	31
20	24	32
20	24	33
20	24	34
20	24	35
20	25	30
20	25	31
20	25	32
20	25	33
20	25	34
20	25	35
20	25	36
20	26	36
20	26	37
21	21	33
21	22	33
21	22	35
21	23	29
21	23	30
21	23	31
21	23	32
21	23	33
21	23	35
21	24	30
21	24	31
21	24	32
21	24	33
21	24	34
21	24	35
21	26	29
21	27	29
22	23	34
22	24	31
22	24	32
22	24	33
22	24	34
22	25	28
22	26	28
22	26	29
22	27	22
22	27	24
22	27	25
22	27	26
22	27	27
22	27	28
22	27	29
22	28	22
22	28	24
22	28	25
22	28	26
22	28	27
22	28	28
22	29	24
22	29	25
22	29	26
22	29	27
22	29	28
22	29	32
22	29	33
23	25	27
23	25	28
23	26	24
23	26	25
23	26	26
23	26	27
23	26	28
23	26	29
23	27	23
23	27	24
23	27	25
23	27	26
23	27	27
23	27	28
23	27	29
23	28	22
23	28	23
23	28	24
23	28	25
23	28	26
23	28	27
23	28	28
23	28	32
23	29	25
23	29	26
23	29	27
23	29	28
23	29	32
23	29	33
23	30	27
23	30	28
23	30	32
24	24	27
24	25	26
24	25	27
24	25	28
24	26	24
24	26	25
24	26	26
24	26	27
24	26	28
24	27	23
24	27	24
24	27	25
24	27	26
24	27	27
24	27	28
24	27	29
24	28	22
24	28	23
24	28	24
24	28	25
24	28	26
24	28	27
24	28	28
24	28	29
24	28	30
24	28	31
24	28	32
24	29	24
24	29	25
24	29	26
24	29	27
24	29	28
24	29	29
24	29	30
24	29	31
24	29	32
24	29	33
24	30	28
24	30	32
25	24	27
25	25	26
25	25	27
25	25	28
25	26	24
25	26	25
25	26	26
25	26	27
25	26	28
25	26	29
25	27	23
25	27	24
25	27	25
25	27	26
25	27	27
25	27	28
25	27	29
25	27	30
25	28	22
25	28	23
25	28	24
25	28	25
25	28	26
25	28	27
25	28	28
25	28	29
25	28	30
25	28	31
25	28	32
25	29	24
25	29	25
25	29	26
25	29	27
25	29	28
25	29	29
25	29	30
25	29	31
25	29	32
25	29	33
25	30	32
26	24	27
26	25	26
26	25	27
26	26	24
26	26	25
26	26	26
26	26	27
26	26	28
26	27	23
26	27	24
26	27	25
26	27	26
26	27	27
26	27	28
26	27	29
26	27	30
26	28	22
26	28	23
26	28	24
26	28	25
26	28	26
26	28	27
26	28	28
26	28	29
26	28	30
26	28	31
26	28	32
26	29	26
26	29	27
26	29	28
26	29	29
26	29	30
26	29	31
26	29	32
27	24	27
27	25	26
27	25	27
27	25	28
27	26	25
27	26	26
27	26	27
27	26	28
27	27	23
27	27	24
27	27	25
27	27	26
27	27	27
27	27	28
27	27	29
27	27	30
27	28	22
27	28	23
27	28	24
27	28	25
27	28	26
27	28	27
27	28	28
27	28	29
27	28	30
27	28	31
27	29	26
27	29	27
27	29	28
27	29	29
27	29	30
27	29	31
27	29	32
28	25	26
28	25	27
28	26	26
28	26	27
28	26	28
28	27	24
28	27	25
28	27	26
28	27	27
28	27	28
28	27	29
28	28	22
28	28	23
28	28	24
28	28	25
28	28	26
28	28	27
28	28	28
28	28	29
28	28	30
28	28	31
28	29	29
28	29	30
28	29	31
29	25	26
29	26	26
29	26	27
29	27	25
29	27	26
29	27	27
29	27	28
29	28	23
29	28	24
29	28	25
29	28	26
29	28	27
29	28	28
29	28	29
29	28	30
30	26	27
30	27	25
30	27	26
