#i	j	k
0	32	33
0	33	32
0	33	33
0	33	34
0	34	31
0	34	32
0	34	33
0	34	34
0	35	30
0	35	31
0	35	32
0	35	33
0	35	34
0	36	28
0	36	29
0	36	30
0	36	31
0	36	32
0	36	33
0	36	34
0	37	28
0	37	29
0	37	30
0	37	31
0	37	32
0	37	33
0	37	34
0	38	28
0	38	29
0	38	30
0	38	31
0	38	32
0	38	33
0	38	34
0	39	27
0	39	28
0	39	29
0	39	30
0	39	31
0	39	32
0	39	33
0	40	28
0	40	29
0	40	30
0	40	31
0	40	32
0	40	33
0	41	29
0	41	30
0	41	31
0	41	32
0	42	30
0	42	31
0	43	31
1	33	32
1	33	33
1	34	31
1	34	32
1	34	33
1	35	30
1	35	31
1	35	32
1	35	33
1	36	29
1	36	30
1	36	31
1	36	32
1	36	33
1	36	34
1	37	29
1	37	30
1	37	31
1	37	32
1	37	33
1	37	34
1	38	28
1	38	29
1	38	30
1	38	31
1	38	32
1	38	33
1	38	34
1	39	27
1	39	28
1	39	29
1	39	30
1	39	31
1	39	32
1	39	33
1	39	34
1	40	28
1	40	29
1	40	30
1	40	31
1	40	32
1	40	33
1	41	29
1	41	30
1	41	31
1	41	32
1	42	30
1	42	31
1	42	32
1	43	31
2	34	31
2	35	30
2	35	31
2	35	32
2	36	29
2	36	30
2	36	31
2	36	32
2	37	29
2	37	30
2	37	31
2	37	32
2	38	28
2	38	29
2	38	30
2	38	31
2	38	32
2	39	27
2	39	28
2	39	29
2	39	30
2	39	31
2	39	32
2	40	28
2	40	29
2	40	30
2	40	31
2	40	32
2	41	29
2	41	30
2	41	31
2	41	32
2	41	33
2	42	30
2	42	31
2	42	32
2	43	31
3	35	30
3	36	30
3	36	31
3	37	30
3	37	31
3	38	30
3	39	29
3	39	30
3	40	28
3	40	29
3	40	30
3	41	29
3	41	30
3	42	30
4	30	11
4	31	11
4	31	12
4	31	13
5	29	10
5	29	11
5	29	12
5	29	13
5	30	10
5	30	11
5	30	12
5	30	13
5	31	10
5	31	11
5	31	12
5	31	13
5	32	11
5	32	12
5	32	13
5	33	11
6	29	11
6	29	12
6	29	13
6	30	10
6	30	11
6	30	12
6	30	13
6	31	10
6	31	11
6	31	12
6	31	13
6	32	10
6	32	11
6	32	12
6	32	13
6	33	11
6	33	12
6	33	13
7	29	13
7	30	11
7	30	12
7	30	13
7	31	10
7	31	11
7	31	12
7	31	13
7	32	11
7	32	12
7	32	13
7	33	11
7	33	12
7	34	11
8	31	12
8	32	12
58	37	31
58	38	31
59	34	29
59	35	28
59	35	29
59	35	30
59	35	31
59	36	29
59	36	30
59	36	31
59	36	32
59	37	30
59	37	31
59	38	30
59	38	31
59	39	31
59	40	31
60	34	26
60	34	27
60	34	28
60	34	29
60	34	30
60	34	31
60	34	32
60	35	28
60	35	29
60	35	30
60	35	31
60	35	32
60	35	33
60	36	29
60	36	30
60	36	31
60	36	32
60	36	33
60	37	29
60	37	30
60	37	31
60	37	32
60	38	30
60	38	31
60	38	32
60	39	30
60	39	31
60	39	32
60	40	30
60	40	31
60	40	32
60	41	30
60	41	31
60	42	30
61	33	27
61	33	28
61	33	29
61	33	30
61	33	31
61	33	32
61	33	33
61	34	27
61	34	28
61	34	29
61	34	30
61	34	31
61	34	32
61	34	33
61	34	34
61	35	26
61	35	27
61	35	28
61	35	29
61	35	30
61	35	31
61	35	32
61	35	33
61	35	34
61	36	28
61	36	29
61	36	30
61	36	31
61	36	32
61	36	33
61	37	29
61	37	30
61	37	31
61	37	32
61	37	33
61	38	29
61	38	30
61	38	31
61	38	32
61	38	33
61	39	29
61	39	30
61	39	31
61	39	32
61	39	33
61	40	29
61	40	30
61	40	31
61	40	32
61	41	29
61	41	30
61	41	31
61	41	32
61	42	29
61	42	30
61	42	31
62	32	33
62	32	34
62	33	32
62	33	33
62	33	34
62	33	35
62	34	27
62	34	28
62	34	29
62	34	30
62	34	31
62	34	32
62	34	33
62	34	34
62	35	26
62	35	27
62	35	28
62	35	29
62	35	30
62	35	31
62	35	32
62	35	33
62	35	34
62	36	26
62	36	27
62	36	28
62	36	29
62	36	30
62	36	31
62	36	32
62	36	33
62	36	34
62	37	28
62	37	29
62	37	30
62	37	31
62	37	32
62	37	33
62	37	34
62	38	28
62	38	29
62	38	30
62	38	31
62	38	32
62	38	33
62	39	28
62	39	29
62	39	30
62	39	31
62	39	32
62	39	33
62	40	28
62	40	29
62	40	30
62	40	31
62	40	32
62	40	33
62	41	28
62	41	29
62	41	30
62	41	31
62	41	32
62	42	30
62	42	31
62	42	32
63	32	33
63	32	34
63	33	32
63	33	33
63	33	34
63	34	31
63	34	32
63	34	33
63	34	34
63	35	27
63	35	28
63	35	29
63	35	30
63	35	31
63	35	32
63	35	33
63	35	34
63	36	27
63	36	28
63	36	29
63	36	30
63	36	31
63	36	32
63	36	33
63	36	34
63	37	27
63	37	28
63	37	29
63	37	30
63	37	31
63	37	32
63	37	33
63	37	34
63	38	27
63	38	28
63	38	29
63	38	30
63	38	31
63	38	32
63	38	33
63	38	34
63	39	27
63	39	28
63	39	29
63	39	30
63	39	31
63	39	32
63	39	33
63	40	27
63	40	28
63	40	29
63	40	30
63	40	31
63	40	32
63	40	33
63	41	29
63	41	30
63	41	31
63	41	32
63	42	30
63	42	31
63	42	32
63	43	31
