#i	j	k
0	34	55
0	35	55
0	35	56
0	35	57
0	35	58
0	36	50
0	36	55
0	36	56
0	36	57
0	36	58
0	36	59
0	37	50
0	37	51
0	37	54
0	37	55
0	37	56
0	37	57
0	37	58
0	37	59
0	37	60
0	38	50
0	38	51
0	38	52
0	38	53
0	38	54
0	38	55
0	38	56
0	38	57
0	38	58
0	38	59
0	38	60
0	39	50
0	39	51
0	39	52
0	39	53
0	39	54
0	39	55
0	39	56
0	39	57
0	39	58
0	39	59
0	39	60
0	40	48
0	40	49
0	40	50
0	40	51
0	40	52
0	40	53
0	40	54
0	40	55
0	40	56
0	40	57
0	40	58
0	40	59
0	40	60
0	41	48
0	41	49
0	41	50
0	41	51
0	41	52
0	41	53
0	41	54
0	41	57
0	41	58
0	41	59
0	42	51
0	42	52
0	42	53
0	42	54
1	35	50
1	35	51
1	35	54
1	35	55
1	36	49
1	36	50
1	36	51
1	36	52
1	36	54
1	36	55
1	36	56
1	36	57
1	36	58
1	37	49
1	37	50
1	37	51
1	37	52
1	37	54
1	37	55
1	37	56
1	37	57
1	37	58
1	37	59
1	37	60
1	38	49
1	38	50
1	38	51
1	38	52
1	38	53
1	38	54
1	38	55
1	38	56
1	38	57
1	38	58
1	38	59
1	38	60
1	39	49
1	39	50
1	39	51
1	39	52
1	39	53
1	39	54
1	39	55
1	39	56
1	39	57
1	39	58
1	39	59
1	39	60
1	40	47
1	40	48
1	40	49
1	40	50
1	40	51
1	40	52
1	40	53
1	40	54
1	40	55
1	40	56
1	40	57
1	40	58
1	40	59
1	40	60
1	41	47
1	41	48
1	41	49
1	41	50
1	41	51
1	41	52
1	41	53
1	41	54
1	41	55
1	41	56
1	41	57
1	41	58
1	41	59
1	42	50
1	42	51
1	42	52
1	42	53
1	42	54
2	33	61
2	34	61
2	34	62
2	35	50
2	35	61
2	36	49
2	36	50
2	36	54
2	36	55
2	36	58
2	36	59
2	36	60
2	36	61
2	37	48
2	37	49
2	37	50
2	37	51
2	37	54
2	37	55
2	37	56
2	37	57
2	37	58
2	37	59
2	37	60
2	37	61
2	38	48
2	38	49
2	38	50
2	38	51
2	38	52
2	38	54
2	38	55
2	38	56
2	38	57
2	38	58
2	38	59
2	39	48
2	39	49
2	39	50
2	39	51
2	39	52
2	39	53
2	39	54
2	39	55
2	39	56
2	39	57
2	39	58
2	39	59
2	39	60
2	40	48
2	40	49
2	40	50
2	40	51
2	40	52
2	40	53
2	40	54
2	40	55
2	40	56
2	40	57
2	40	58
2	40	59
2	40	60
2	41	47
2	41	48
2	41	49
2	41	50
2	41	51
2	41	52
2	41	53
2	41	54
2	41	55
2	41	56
2	41	57
2	41	58
2	41	59
2	42	49
2	42	50
2	42	51
2	42	52
2	42	53
2	42	54
2	42	55
2	42	58
3	33	61
3	33	62
3	34	60
3	34	61
3	34	62
3	35	59
3	35	60
3	35	61
3	36	49
3	36	50
3	36	58
3	36	59
3	36	60
3	36	61
3	37	48
3	37	49
3	37	50
3	37	55
3	37	57
3	37	58
3	37	59
3	37	60
3	38	48
3	38	49
3	38	50
3	38	51
3	38	54
3	38	55
3	38	56
3	38	57
3	38	58
3	38	59
3	39	48
3	39	49
3	39	50
3	39	51
3	39	52
3	39	53
3	39	54
3	39	55
3	39	56
3	39	57
3	39	58
3	39	59
3	39	60
3	40	48
3	40	49
3	40	50
3	40	51
3	40	52
3	40	53
3	40	54
3	40	55
3	40	56
3	40	57
3	40	58
3	40	59
3	40	60
3	41	49
3	41	50
3	41	51
3	41	52
3	41	53
3	41	54
3	41	55
3	41	56
3	41	57
3	41	58
3	41	59
3	42	52
3	42	53
3	42	54
3	42	55
3	42	57
3	42	58
3	42	59
4	33	61
4	33	62
4	34	60
4	34	61
4	34	62
4	35	59
4	35	60
4	35	61
4	36	49
4	36	58
4	36	59
4	36	60
4	37	48
4	37	49
4	37	50
4	37	51
4	37	59
4	38	48
4	38	49
4	38	50
4	38	51
4	39	48
4	39	49
4	39	50
4	39	51
4	39	52
4	39	53
4	39	54
4	39	55
4	39	57
4	39	58
4	39	59
4	40	48
4	40	49
4	40	50
4	40	51
4	40	52
4	40	53
4	40	54
4	40	55
4	40	56
4	40	57
4	40	58
4	40	59
4	40	60
4	41	51
4	41	52
4	41	53
4	41	54
4	41	55
4	41	56
4	41	57
4	41	58
4	41	59
4	41	60
4	42	52
4	42	53
4	42	54
4	42	55
4	42	56
4	42	57
4	42	58
4	42	59
4	43	53
4	43	54
5	33	61
5	33	62
5	34	60
5	34	61
5	34	62
5	35	59
5	35	60
5	35	61
5	36	49
5	36	58
5	36	59
5	36	60
5	37	49
5	37	50
5	37	59
5	38	49
5	38	50
5	38	51
5	39	50
5	39	51
5	39	52
5	39	53
5	39	54
5	39	59
5	40	50
5	40	51
5	40	52
5	40	53
5	40	54
5	40	55
5	40	57
5	40	58
5	40	59
5	40	60
5	41	51
5	41	52
5	41	53
5	41	54
5	41	55
5	41	56
5	41	57
5	41	58
5	41	59
5	41	60
5	42	52
5	42	53
5	42	54
5	42	55
5	42	56
5	42	57
5	42	58
5	42	59
5	42	60
5	43	52
5	43	53
5	43	54
5	43	55
6	33	61
6	33	62
6	34	59
6	34	60
6	34	61
6	34	62
6	35	59
6	35	60
6	35	61
6	36	58
6	36	59
6	36	60
6	37	50
6	37	59
6	38	51
6	38	52
6	39	51
6	39	52
6	39	53
6	39	54
6	39	55
6	39	59
6	40	51
6	40	52
6	40	53
6	40	54
6	40	55
6	40	57
6	40	58
6	40	59
6	41	51
6	41	52
6	41	53
6	41	54
6	41	55
6	41	56
6	41	57
6	41	58
6	41	59
6	41	60
6	42	52
6	42	53
6	42	54
6	42	55
6	42	56
6	42	57
6	42	58
6	42	59
6	42	60
6	43	51
6	43	52
6	43	53
6	43	54
6	43	55
6	43	56
6	43	57
6	43	58
6	43	59
6	44	54
6	44	55
7	33	58
7	33	59
7	33	60
7	33	61
7	33	62
7	34	58
7	34	59
7	34	60
7	34	61
7	34	62
7	35	59
7	36	59
7	37	59
7	38	52
7	38	54
7	39	52
7	39	53
7	39	54
7	39	55
7	40	52
7	40	53
7	40	54
7	40	55
7	40	57
7	40	58
7	40	59
7	41	52
7	41	53
7	41	54
7	41	55
7	41	56
7	41	57
7	41	58
7	41	59
7	41	60
7	42	52
7	42	53
7	42	54
7	42	55
7	42	56
7	42	57
7	42	58
7	42	59
7	42	60
7	42	61
7	43	53
7	43	54
7	43	55
7	43	56
7	43	57
7	43	58
7	43	59
7	43	60
7	44	54
7	44	55
8	32	58
8	32	59
8	32	60
8	33	58
8	33	59
8	33	60
8	33	61
8	34	60
8	38	54
8	39	53
8	39	54
8	39	55
8	40	53
8	40	54
8	40	55
8	41	53
8	41	54
8	41	55
8	41	56
8	41	57
8	41	58
8	41	59
8	41	60
8	42	53
8	42	54
8	42	55
8	42	56
8	42	57
8	42	58
8	42	59
8	42	60
8	42	61
8	43	55
8	43	56
8	43	57
8	43	58
8	43	59
8	43	60
8	44	57
9	31	57
9	32	57
9	32	58
9	32	59
9	32	60
9	33	61
9	38	54
9	39	54
9	39	55
9	40	54
9	40	55
9	41	53
9	41	54
9	41	55
9	41	57
9	41	58
9	41	59
9	42	56
9	42	57
9	42	58
9	42	59
9	42	60
9	43	58
9	43	59
9	43	60
10	39	55
10	40	55
10	42	59
59	34	57
59	34	58
59	34	59
59	35	57
59	35	58
59	35	59
59	35	60
59	36	58
59	36	59
59	36	60
59	37	58
59	37	59
59	38	58
60	33	57
60	33	58
60	33	59
60	34	56
60	34	57
60	34	58
60	34	59
60	34	60
60	35	56
60	35	57
60	35	58
60	35	59
60	35	60
60	35	61
60	36	57
60	36	58
60	36	59
60	36	60
60	36	61
60	37	57
60	37	58
60	37	59
60	37	60
60	37	61
60	38	57
60	38	58
60	38	59
60	38	60
61	33	56
61	34	56
61	34	57
61	34	58
61	34	59
61	35	56
61	35	57
61	35	58
61	35	59
61	35	60
61	36	56
61	36	57
61	36	58
61	36	59
61	36	60
61	37	56
61	37	57
61	37	58
61	37	59
61	37	60
61	37	61
61	38	56
61	38	57
61	38	58
61	38	59
61	38	60
61	38	61
61	39	56
61	39	58
61	39	59
61	39	60
61	40	54
61	41	54
62	34	55
62	34	56
62	34	57
62	34	58
62	35	55
62	35	56
62	35	57
62	35	58
62	35	59
62	35	60
62	36	55
62	36	56
