#i	j	k
0	27	32
0	27	33
0	27	34
0	27	35
0	28	31
0	28	32
0	28	33
0	28	34
0	28	35
0	28	36
0	29	30
0	29	31
0	29	32
0	29	33
0	29	34
0	29	35
0	29	36
0	29	37
0	30	28
0	30	29
0	30	30
0	30	31
0	30	32
0	30	33
0	30	34
0	30	35
0	30	36
0	30	37
0	30	38
0	31	28
0	31	29
0	31	30
0	31	31
0	31	32
0	31	33
0	31	34
0	31	35
0	31	36
0	32	39
1	28	31
1	28	32
1	28	33
1	28	34
1	28	35
1	29	30
1	29	31
1	29	32
1	29	33
1	29	34
1	29	35
1	30	30
1	30	31
1	30	32
1	30	33
1	30	34
1	30	35
1	31	30
1	31	31
1	31	32
1	31	33
1	31	34
1	31	35
1	32	31
1	32	32
1	33	31
1	34	30
1	35	30
2	28	30
2	29	30
2	29	31
2	29	32
2	29	33
2	29	34
2	30	29
2	30	30
2	30	31
2	30	32
2	30	33
2	30	34
2	31	29
2	31	30
2	31	31
2	31	32
2	31	33
2	31	34
2	31	35
2	32	29
2	32	30
2	32	31
2	32	32
2	32	33
2	32	36
2	33	29
2	33	30
2	33	31
2	33	32
2	34	29
2	34	30
2	34	31
2	34	32
2	35	30
3	28	30
3	29	30
3	29	31
3	30	29
3	30	30
3	30	31
3	30	32
3	30	33
3	30	34
3	31	29
3	31	30
3	31	31
3	31	32
3	31	33
3	31	34
3	31	35
3	32	29
3	32	30
3	32	31
3	32	32
3	32	33
3	33	29
3	33	30
3	33	31
3	33	32
3	34	30
3	34	31
4	28	30
4	29	30
4	29	31
4	30	29
4	30	30
4	30	31
4	30	32
4	30	33
4	30	34
4	31	29
4	31	30
4	31	31
4	31	32
4	31	33
4	31	34
4	31	35
4	32	29
4	32	30
4	32	31
4	32	32
4	32	33
4	33	30
4	33	31
4	33	32
4	34	31
5	28	30
5	29	30
5	29	31
5	30	30
5	30	31
5	31	30
5	31	31
5	31	32
5	31	33
5	31	34
5	32	30
5	32	31
5	32	32
5	32	33
5	33	31
5	33	32
6	30	31
6	31	30
6	31	31
6	32	31
6	32	32
6	32	33
6	33	31
6	33	32
7	33	32
47	31	24
47	31	25
47	31	26
47	32	24
47	32	25
47	32	26
47	33	26
48	30	26
48	30	27
48	31	23
48	31	24
48	31	25
48	31	26
48	31	27
48	32	22
48	32	23
48	32	24
48	32	25
48	32	26
48	32	27
48	33	23
48	33	24
48	33	25
48	33	26
49	29	26
49	29	27
49	29	28
49	30	24
49	30	25
49	30	26
49	30	27
49	30	28
49	31	22
49	31	23
49	31	24
49	31	25
49	31	26
49	31	27
49	31	28
49	32	21
49	32	22
49	32	23
49	32	24
49	32	25
49	32	26
49	32	27
49	32	28
49	33	22
49	33	23
49	33	24
49	33	25
49	33	26
49	33	27
50	28	28
50	28	29
50	28	30
50	28	31
50	29	25
50	29	26
50	29	27
50	29	28
50	29	29
50	30	24
50	30	25
50	30	26
50	30	27
50	30	28
50	30	29
50	31	21
50	31	22
50	31	23
50	31	24
50	31	25
50	31	26
50	31	27
50	31	28
50	31	29
50	32	21
50	32	22
50	32	23
50	32	24
50	32	25
50	32	26
50	32	27
50	32	28
50	32	29
50	33	21
50	33	22
50	33	23
50	33	24
50	33	25
50	33	26
50	33	27
50	33	28
50	34	21
50	34	22
50	34	23
50	34	24
50	34	25
50	34	26
50	34	27
50	34	31
50	35	31
51	28	27
51	28	28
51	28	29
51	28	30
51	28	31
51	28	32
51	29	25
51	29	26
51	29	27
51	29	28
51	29	29
51	29	30
51	30	23
51	30	24
51	30	25
51	30	26
51	30	27
51	30	28
51	30	29
51	30	30
51	31	21
51	31	22
51	31	23
51	31	24
51	31	25
51	31	26
51	31	27
51	31	28
51	31	29
51	31	30
51	31	31
51	32	21
51	32	22
51	32	23
51	32	24
51	32	25
51	32	26
51	32	27
51	32	28
51	32	29
51	32	30
51	32	31
51	32	32
51	33	21
51	33	22
51	33	23
51	33	24
51	33	25
51	33	26
51	33	27
51	33	28
51	33	29
51	33	30
51	33	31
51	33	32
51	34	20
51	34	21
51	34	22
51	34	23
51	34	24
51	34	25
51	34	26
51	34	27
51	34	28
51	34	29
51	34	30
51	34	31
51	34	32
51	35	20
51	35	21
51	35	22
51	35	29
51	35	30
51	35	31
51	35	32
52	27	28
52	28	26
52	28	27
52	28	28
52	28	29
52	28	30
52	29	24
52	29	25
52	29	26
52	29	27
52	29	28
52	29	29
52	29	30
52	29	31
52	30	23
52	30	24
52	30	25
52	30	26
52	30	27
52	30	28
52	30	29
52	30	30
52	31	21
52	31	22
52	31	23
52	31	24
52	31	25
52	31	26
52	31	27
52	31	28
52	31	29
52	31	30
52	31	31
52	32	21
52	32	22
52	32	23
52	32	24
52	32	25
52	32	26
52	32	27
52	32	28
52	32	29
52	32	30
52	32	31
52	32	32
52	33	21
52	33	22
52	33	23
52	33	24
52	33	25
52	33	26
52	33	27
52	33	28
52	33	29
52	33	30
52	33	31
52	33	32
52	33	33
52	34	20
52	34	21
52	34	22
52	34	23
52	34	24
52	34	25
52	34	26
52	34	27
52	34	28
52	34	29
52	34	30
52	34	31
52	34	32
52	34	33
52	35	21
52	35	22
52	35	23
52	35	24
52	35	28
52	35	29
52	35	30
52	35	31
52	35	32
52	35	33
52	35	34
52	36	21
53	27	27
53	27	28
53	27	29
53	27	30
53	28	26
53	28	27
53	28	28
53	28	29
53	28	30
53	29	24
53	29	25
53	29	26
53	29	27
53	29	28
53	29	29
53	30	22
53	30	23
53	30	24
53	30	25
53	30	26
53	30	27
53	30	28
53	30	29
53	30	30
53	31	20
53	31	21
53	31	22
53	31	23
53	31	24
53	31	25
53	31	26
53	31	27
53	31	28
53	31	29
53	31	30
53	31	31
53	32	20
53	32	21
53	32	22
53	32	23
53	32	24
53	32	25
53	32	26
53	32	27
53	32	28
53	32	29
53	32	30
53	32	31
53	32	32
53	33	20
53	33	21
53	33	22
53	33	23
53	33	24
53	33	25
53	33	26
53	33	27
53	33	28
53	33	29
53	33	30
53	33	31
53	33	32
53	33	33
53	33	34
53	34	21
53	34	22
53	34	23
53	34	24
53	34	25
53	34	26
53	34	27
53	34	28
53	34	29
53	34	30
53	34	31
53	34	32
53	34	33
53	34	34
53	35	21
53	35	22
53	35	23
53	35	24
53	35	25
53	35	26
53	35	27
53	35	28
53	35	29
53	35	30
53	35	31
53	35	32
53	35	33
53	35	34
53	36	21
53	36	22
54	27	27
54	27	28
54	27	29
54	27	30
54	27	31
54	28	26
54	28	27
54	28	28
54	28	29
54	28	30
54	29	24
54	29	25
54	29	26
54	29	27
54	29	28
54	29	29
54	30	21
54	30	22
54	30	23
54	30	24
54	30	25
54	30	26
54	30	27
54	30	28
54	30	29
54	30	30
54	31	20
54	31	21
54	31	22
54	31	23
54	31	24
54	31	25
54	31	26
54	31	27
54	31	28
54	31	29
54	31	30
54	31	31
54	32	20
54	32	21
54	32	22
54	32	23
54	32	24
54	32	25
54	32	26
54	32	27
54	32	28
54	32	29
54	32	30
54	32	31
54	32	32
54	33	20
54	33	21
54	33	22
54	33	23
54	33	24
54	33	25
54	33	26
54	33	27
54	33	28
54	33	29
54	33	30
54	33	31
54	33	32
54	33	33
54	33	34
54	33	35
54	34	21
54	34	22
54	34	23
54	34	24
54	34	25
54	34	26
54	34	27
54	34	28
54	34	29
54	34	30
54	34	31
54	34	32
54	34	33
54	34	34
54	34	35
54	35	21
54	35	22
54	35	23
54	35	24
54	35	25
54	35	26
54	35	27
54	35	28
54	35	29
54	35	30
54	35	31
54	35	32
54	35	33
54	35	34
54	35	35
54	36	21
54	36	22
54	36	23
54	36	24
55	26	29
55	26	30
55	27	28
55	27	29
55	27	30
55	27	31
55	28	26
55	28	27
55	28	28
55	28	29
55	28	30
55	29	24
55	29	25
55	29	26
55	29	27
55	29	28
55	29	29
55	30	21
55	30	22
55	30	23
55	30	24
55	30	25
55	30	26
55	30	27
55	30	28
55	30	29
55	30	30
55	31	20
55	31	21
55	31	22
55	31	23
55	31	24
55	31	25
55	31	26
55	31	27
55	31	28
55	31	29
55	31	30
55	31	31
55	32	20
55	32	21
55	32	22
55	32	23
55	32	24
55	32	25
55	32	26
55	32	27
55	32	28
55	32	29
55	32	30
55	32	31
55	32	32
55	33	20
55	33	21
55	33	22
55	33	23
55	33	24
55	33	25
55	33	26
55	33	27
55	33	28
55	33	29
55	33	30
55	33	31
55	33	32
55	33	33
55	33	34
55	34	21
55	34	22
55	34	23
55	34	24
55	34	25
55	34	26
55	34	27
55	34	28
55	34	29
55	34	30
55	34	31
55	34	32
55	34	33
55	34	34
55	34	35
55	34	36
55	35	21
55	35	22
55	35	23
55	35	24
55	35	25
55	35	26
55	35	27
55	35	28
55	35	29
55	35	30
55	35	31
55	35	32
55	35	33
55	35	34
55	36	21
55	36	22
55	36	23
55	36	24
55	37	22
55	37	23
56	26	31
56	26	32
56	27	28
56	27	29
56	27	30
56	27	31
56	28	26
56	28	27
56	28	28
56	29	24
56	29	25
56	29	26
56	29	27
56	29	28
56	29	29
56	30	21
56	30	22
56	30	23
56	30	24
56	30	25
56	30	26
56	30	27
56	30	28
56	30	29
56	30	30
56	31	20
56	31	21
56	31	22
56	31	23
56	31	24
56	31	25
56	31	26
56	31	27
56	31	28
56	31	29
56	31	30
56	31	31
56	32	20
56	32	21
56	32	22
56	32	23
56	32	24
56	32	25
56	32	26
56	32	27
56	32	28
56	32	29
56	32	30
56	32	31
56	32	32
56	33	20
56	33	21
56	33	22
56	33	23
56	33	24
56	33	25
56	33	26
56	33	27
56	33	28
56	33	29
56	33	30
56	33	31
56	33	32
56	33	33
56	33	34
56	34	20
56	34	21
56	34	22
56	34	23
56	34	24
56	34	25
56	34	26
56	34	27
56	34	28
56	34	29
56	34	30
56	34	31
56	34	32
56	34	33
56	34	34
56	34	35
56	35	21
56	35	22
56	35	23
56	35	24
56	35	25
56	35	26
56	35	27
56	35	28
56	35	29
56	35	30
56	35	31
56	35	32
56	35	33
56	36	21
56	36	22
56	36	23
56	36	24
56	37	22
56	37	23
57	26	31
57	26	32
57	28	27
57	28	28
57	29	24
57	29	25
57	29	26
57	29	27
57	29	28
57	29	29
57	30	20
57	30	21
57	30	22
57	30	23
57	30	24
57	30	25
57	30	26
57	30	27
57	30	28
57	30	29
57	30	30
57	31	20
57	31	21
57	31	22
57	31	23
57	31	24
57	31	25
57	31	26
57	31	27
57	31	28
57	31	29
57	31	30
57	31	31
57	32	20
57	32	21
57	32	22
57	32	23
57	32	24
57	32	25
57	32	26
57	32	27
57	32	28
57	32	29
57	32	30
57	32	31
57	33	20
57	33	21
57	33	22
57	33	23
57	33	24
57	33	25
57	33	26
57	33	27
57	33	28
57	33	29
57	33	30
57	33	31
57	34	20
57	34	21
57	34	22
57	34	23
57	34	24
57	34	25
57	34	26
57	34	27
57	34	28
57	34	29
57	34	30
57	34	31
57	34	32
57	34	33
57	34	34
57	34	35
57	35	21
57	35	22
57	35	23
57	35	24
57	35	25
57	35	26
57	35	27
57	35	28
57	35	29
57	35	30
57	35	31
57	35	32
57	35	33
57	36	22
57	36	23
57	36	24
57	37	22
58	27	29
58	28	27
58	28	28
58	29	22
58	29	23
58	29	24
58	29	25
58	29	26
58	29	27
58	29	28
58	29	29
58	30	21
58	30	22
58	30	23
58	30	24
58	30	25
58	30	26
58	30	27
58	30	28
58	30	29
58	30	30
58	31	20
58	31	21
58	31	22
58	31	23
58	31	24
58	31	25
58	31	26
58	31	27
58	31	28
58	31	29
58	31	30
58	32	20
58	32	21
58	32	22
58	32	23
58	32	24
58	32	25
58	32	26
58	32	27
58	32	28
58	32	29
58	32	30
58	33	20
58	33	21
58	33	22
58	33	23
58	33	24
58	33	25
58	33	26
58	33	27
58	33	28
58	33	29
58	33	30
58	34	21
58	34	22
58	34	23
58	34	24
58	34	25
58	34	26
58	34	27
58	34	28
58	34	29
58	34	30
58	35	21
58	35	22
58	35	23
58	35	24
58	35	25
58	35	26
58	35	27
58	35	28
58	35	29
58	35	30
58	35	31
58	35	32
58	35	33
58	35	35
58	36	22
58	36	23
58	36	24
58	36	28
59	27	29
59	27	32
59	28	28
59	28	33
59	28	34
59	28	35
59	28	36
59	28	37
59	29	24
59	29	25
59	29	26
59	29	27
59	29	28
59	29	29
59	29	37
59	30	23
59	30	24
59	30	25
59	30	26
59	30	27
59	30	28
59	30	29
59	30	37
59	30	38
59	31	22
59	31	23
59	31	24
59	31	25
59	31	26
59	31	27
59	31	28
59	31	29
59	31	37
59	31	38
59	32	22
59	32	23
59	32	24
59	32	25
59	32	26
59	32	27
59	32	28
59	32	29
59	32	38
59	33	22
59	33	23
59	33	24
59	33	25
59	33	26
59	33	27
59	33	28
59	33	29
59	34	22
59	34	23
59	34	24
59	34	25
59	34	26
59	34	27
59	34	28
59	34	29
59	35	22
59	35	23
59	35	24
59	35	25
59	35	26
59	35	27
59	35	28
59	35	29
59	35	30
59	35	31
59	36	23
59	36	24
59	36	25
59	36	26
59	36	27
59	36	28
60	27	31
60	27	32
60	27	33
60	27	34
60	27	35
60	27	36
60	28	28
60	28	29
60	28	32
60	28	33
60	28	34
60	28	35
60	28	36
60	28	37
60	29	25
60	29	26
60	29	27
60	29	28
60	29	34
60	29	35
60	29	36
60	29	37
60	29	38
60	29	39
60	30	24
60	30	25
60	30	26
60	30	27
60	30	28
60	30	35
60	30	36
60	30	37
60	30	38
60	30	39
60	31	23
60	31	24
60	31	25
60	31	26
60	31	27
60	31	28
60	31	37
60	31	38
60	31	39
60	32	23
60	32	24
60	32	25
60	32	26
60	32	27
60	32	28
60	32	37
60	32	38
60	33	23
60	33	24
60	33	25
60	33	26
60	33	27
60	33	28
60	33	29
60	34	23
60	34	24
60	34	25
60	34	26
60	34	27
60	34	28
60	34	29
60	34	30
60	35	23
60	35	24
60	35	25
60	35	26
60	35	27
60	35	28
60	35	29
60	35	30
60	36	24
60	36	25
60	36	26
60	36	27
61	27	31
61	27	32
61	27	33
61	27	34
61	27	35
61	27	36
61	28	28
61	28	31
61	28	32
61	28	33
61	28	34
61	28	35
61	28	36
61	28	37
61	28	38
61	29	27
61	29	33
61	29	34
61	29	35
61	29	36
61	29	37
61	29	38
61	30	26
61	30	27
61	30	28
61	30	29
61	30	33
61	30	34
61	30	35
61	30	36
61	30	37
61	30	38
61	30	39
61	31	25
61	31	26
61	31	27
61	31	28
61	31	29
61	31	34
61	31	35
61	31	36
61	31	37
61	31	38
61	31	39
61	32	24
61	32	25
61	32	26
61	32	27
61	32	28
61	32	29
61	32	37
61	32	38
61	33	24
61	33	25
61	33	26
61	33	27
61	33	28
61	33	29
61	33	38
61	34	24
61	34	25
61	34	26
61	34	27
61	34	28
61	34	29
61	34	30
61	35	25
61	35	26
61	35	27
61	35	30
62	27	31
62	27	32
62	27	33
62	27	34
62	27	35
62	27	36
62	28	30
62	28	31
62	28	32
62	28	33
62	28	34
62	28	35
62	28	36
62	28	37
62	29	28
62	29	31
62	29	32
62	29	33
62	29	34
62	29	35
62	29	36
62	29	37
62	29	38
62	30	27
62	30	28
62	30	29
62	30	30
62	30	31
62	30	32
62	30	33
62	30	34
62	30	35
62	30	36
62	30	37
62	30	38
62	31	26
62	31	27
62	31	28
62	31	29
62	31	30
62	31	32
62	31	33
62	31	34
62	31	35
62	31	36
62	31	37
62	31	38
62	32	25
62	32	26
62	32	27
62	32	28
62	32	29
62	32	30
62	32	33
62	32	36
62	32	37
62	32	38
62	33	25
62	33	26
62	33	27
62	33	28
62	33	29
62	33	30
62	33	38
62	34	26
62	34	27
62	34	30
63	27	31
63	27	32
63	27	33
63	27	34
63	27	35
63	27	36
63	28	30
63	28	31
63	28	32
63	28	33
63	28	34
63	28	35
63	28	36
63	28	37
63	29	29
63	29	30
63	29	31
63	29	32
63	29	33
63	29	34
63	29	35
63	29	36
63	29	37
63	29	38
63	30	28
63	30	29
63	30	30
63	30	31
63	30	32
63	30	33
63	30	34
63	30	35
63	30	36
63	30	37
63	30	38
63	31	27
63	31	28
63	31	29
63	31	30
63	31	31
63	31	32
63	31	33
63	31	34
63	31	35
63	31	36
63	31	37
63	31	38
63	32	26
63	32	27
63	32	28
63	32	29
63	32	30
63	32	31
63	32	38
63	32	39
63	33	27
63	33	30
63	33	38
