#i	j	k
53	49	25
53	50	25
53	50	26
53	50	27
53	51	24
53	51	25
53	51	26
53	51	27
53	51	28
53	51	29
53	52	25
53	52	26
53	52	27
53	52	28
53	53	26
53	53	27
53	53	28
53	54	26
53	54	27
53	54	28
53	55	27
53	55	28
54	46	24
54	46	25
54	47	24
54	47	25
54	47	26
54	47	27
54	48	23
54	48	24
54	48	25
54	48	26
54	48	27
54	48	28
54	48	31
54	49	23
54	49	24
54	49	25
54	49	26
54	49	27
54	49	28
54	49	29
54	49	30
54	49	31
54	50	22
54	50	23
54	50	24
54	50	25
54	50	26
54	50	27
54	50	28
54	50	29
54	50	30
54	50	31
54	51	21
54	51	22
54	51	23
54	51	24
54	51	25
54	51	26
54	51	27
54	51	28
54	51	29
54	51	30
54	51	31
54	52	22
54	52	23
54	52	24
54	52	25
54	52	26
54	52	27
54	52	28
54	52	29
54	52	30
54	52	31
54	53	23
54	53	24
54	53	25
54	53	26
54	53	27
54	53	28
54	53	29
54	53	30
54	54	24
54	54	25
54	54	26
54	54	27
54	54	28
54	54	29
54	55	25
54	55	26
54	55	27
54	55	28
54	55	29
54	56	26
54	56	27
54	56	28
54	56	29
54	57	27
54	57	28
55	35	34
55	35	35
55	35	36
55	35	37
55	35	38
55	35	39
55	36	34
55	36	35
55	36	36
55	36	37
55	37	34
55	38	24
55	38	25
55	38	34
55	39	24
55	39	25
55	39	34
55	40	24
55	40	25
55	40	33
55	40	34
55	41	25
55	41	33
55	41	34
55	42	25
55	42	33
55	42	34
55	43	25
55	43	32
55	43	33
55	44	24
55	44	25
55	44	26
55	44	32
55	45	24
55	45	25
55	45	26
55	45	27
55	45	31
55	45	32
55	46	23
55	46	24
55	46	25
55	46	26
55	46	27
55	46	28
55	46	29
55	46	30
55	46	31
55	46	32
55	47	23
55	47	24
55	47	25
55	47	26
55	47	27
55	47	28
55	47	29
55	47	30
55	47	31
55	47	32
55	48	22
55	48	23
55	48	24
55	48	25
55	48	26
55	48	27
55	48	28
55	48	29
55	48	30
55	48	31
55	48	32
55	49	21
55	49	22
55	49	23
55	49	24
55	49	25
55	49	26
55	49	27
55	49	28
55	49	29
55	49	30
55	49	31
55	49	32
55	50	19
55	50	20
55	50	21
55	50	22
55	50	23
55	50	24
55	50	25
55	50	26
55	50	27
55	50	28
55	50	29
55	50	30
55	50	31
55	50	32
55	51	20
55	51	21
55	51	22
55	51	23
55	51	24
55	51	25
55	51	26
55	51	27
55	51	28
55	51	29
55	51	30
55	51	31
55	52	20
55	52	21
55	52	22
55	52	23
55	52	24
55	52	25
55	52	26
55	52	27
55	52	28
55	52	29
55	52	30
55	52	31
55	53	20
55	53	21
55	53	22
55	53	23
55	53	24
55	53	25
55	53	26
55	53	27
55	53	28
55	53	29
55	53	30
55	53	31
55	53	32
55	54	20
55	54	21
55	54	22
55	54	23
55	54	24
55	54	25
55	54	26
55	54	27
55	54	28
55	54	29
55	54	30
55	54	31
55	55	20
55	55	21
55	55	22
55	55	23
55	55	24
55	55	25
55	55	26
55	55	27
55	55	28
55	55	29
55	55	30
55	56	20
55	56	24
55	56	25
55	56	26
55	56	27
55	56	28
55	56	29
55	56	30
55	57	26
55	57	27
55	57	28
55	57	29
55	57	30
56	33	34
56	33	35
56	33	36
56	33	37
56	33	38
56	33	39
56	34	34
56	34	35
56	34	36
56	34	37
56	34	38
56	34	39
56	35	34
56	35	35
56	35	36
56	35	37
56	35	38
56	35	39
56	36	25
56	36	33
56	36	34
56	36	35
56	36	36
56	36	37
56	36	38
56	37	24
56	37	25
56	37	26
56	37	33
56	37	34
56	37	35
