#i	j	k
25	29	49
25	30	49
26	29	48
26	29	49
26	29	50
26	29	51
26	29	52
26	30	49
26	30	50
26	31	49
26	31	50
26	32	50
27	29	48
27	29	49
27	29	50
27	29	51
27	29	52
27	30	48
27	30	49
27	30	50
27	30	51
27	31	49
27	31	50
27	31	51
27	32	50
28	29	48
28	29	49
28	29	50
28	29	51
28	29	52
28	30	48
28	30	49
28	30	50
28	30	51
28	31	49
28	31	50
28	31	51
28	32	50
29	29	48
29	29	49
29	29	50
29	29	51
29	29	52
29	30	48
29	30	49
29	30	50
29	30	51
29	31	49
29	31	50
29	31	51
29	32	50
30	29	49
30	29	50
30	29	51
30	29	52
30	30	48
30	30	49
30	30	50
30	30	51
30	31	49
30	31	50
30	31	51
30	32	50
31	29	52
31	30	48
31	30	49
31	30	50
31	30	51
31	30	52
31	31	49
31	31	50
31	31	51
31	31	52
31	32	50
31	32	51
31	32	52
32	30	49
32	30	50
32	30	51
32	30	52
32	31	49
32	31	50
32	31	51
32	31	52
32	32	50
32	32	51
32	32	52
32	33	51
32	33	52
32	33	53
33	31	49
33	31	50
33	31	52
33	32	51
33	32	52
33	33	52
33	34	52
