#i	j	k
10	19	23
10	19	24
10	19	25
11	17	22
11	17	23
11	17	24
11	18	22
11	18	23
11	18	24
11	19	21
11	19	22
11	19	23
11	19	24
11	19	25
11	20	24
11	20	25
11	20	26
12	16	21
12	16	22
12	16	23
12	16	24
12	16	25
12	17	21
12	17	22
12	17	23
12	17	24
12	17	25
12	18	21
12	18	22
12	18	23
12	18	24
12	18	25
12	19	21
12	19	22
12	19	23
12	19	24
12	19	25
12	20	21
12	20	22
12	20	23
12	20	24
12	20	25
12	20	26
13	15	23
13	15	24
13	15	25
13	15	26
13	16	20
13	16	21
13	16	22
13	16	23
13	16	24
13	16	25
13	16	26
13	17	20
13	17	21
13	17	22
13	17	23
13	17	24
13	17	25
13	17	26
13	18	20
13	18	21
13	18	22
13	18	23
13	18	24
13	18	25
13	18	26
13	19	20
13	19	21
13	19	22
13	19	23
13	19	24
13	19	25
13	19	26
13	20	20
13	20	21
13	20	23
13	20	24
13	20	25
13	20	26
14	14	24
14	14	25
14	14	26
14	14	27
14	15	20
14	15	21
14	15	22
14	15	23
14	15	24
14	15	25
14	15	26
14	15	27
14	16	20
14	16	21
14	16	22
14	16	23
14	16	24
14	16	25
14	16	26
14	16	27
14	17	19
14	17	20
14	17	21
14	17	22
14	17	23
14	17	24
14	17	25
14	17	26
14	17	27
14	18	19
14	18	20
14	18	21
14	18	22
14	18	23
14	18	24
14	18	25
14	18	26
14	18	27
14	19	19
14	19	20
14	19	21
14	19	22
14	19	23
14	19	24
14	19	25
14	19	26
14	19	27
14	20	22
14	20	24
14	20	25
14	20	26
14	20	27
15	13	25
15	13	26
15	13	27
15	14	19
15	14	20
15	14	21
15	14	22
15	14	23
15	14	24
15	14	25
15	14	26
15	14	27
15	14	28
15	15	19
15	15	20
15	15	21
15	15	22
15	15	23
15	15	24
15	15	25
15	15	26
15	15	27
15	15	28
15	16	19
15	16	20
15	16	21
15	16	22
15	16	23
15	16	24
15	16	25
15	16	26
15	16	27
15	16	28
15	17	19
15	17	20
15	17	21
15	17	22
15	17	23
15	17	24
15	17	25
15	17	26
15	17	27
15	17	28
15	18	18
15	18	19
15	18	20
15	18	21
15	18	22
15	18	23
15	18	24
15	18	25
15	18	26
15	18	27
15	18	28
15	19	20
15	19	21
15	19	22
15	19	23
15	19	24
15	19	25
15	19	26
15	19	27
15	19	28
15	20	22
15	20	24
15	20	25
15	20	26
15	20	27
15	20	28
16	13	20
16	13	21
16	13	22
16	13	23
16	13	24
16	13	25
16	13	26
16	13	27
16	14	18
16	14	19
16	14	20
16	14	21
16	14	22
16	14	23
16	14	24
16	14	25
16	14	26
16	14	27
16	14	28
16	15	18
16	15	19
16	15	20
16	15	21
16	15	22
16	15	23
16	15	24
16	15	25
16	15	26
16	15	27
16	15	28
16	15	29
16	16	18
16	16	19
16	16	20
16	16	21
16	16	22
16	16	23
16	16	24
16	16	25
16	16	26
16	16	27
16	16	28
16	16	29
16	17	18
16	17	19
16	17	20
16	17	21
16	17	22
16	17	23
16	17	24
16	17	25
16	17	26
