#i	j	k
44	5	45
44	5	46
44	6	45
45	4	44
45	4	45
45	4	46
45	4	47
45	5	44
45	5	45
45	5	46
45	5	47
45	6	44
45	6	45
45	6	46
46	3	43
46	3	44
46	3	45
46	3	46
46	3	47
46	4	43
46	4	44
46	4	45
46	4	46
46	4	47
46	5	43
46	5	44
46	5	45
46	5	46
46	5	47
46	5	48
46	6	44
46	6	45
46	6	46
46	6	47
46	7	45
46	7	46
47	3	44
47	3	45
47	3	46
47	3	47
47	4	43
47	4	44
47	4	45
47	4	46
47	4	47
47	4	48
47	5	43
47	5	44
47	5	45
47	5	46
47	5	47
47	5	48
47	6	44
47	6	45
47	6	46
47	6	47
47	7	44
47	7	45
47	7	46
48	3	44
48	3	45
48	4	44
48	4	45
48	4	46
48	5	44
48	5	45
48	5	46
48	5	47
48	6	44
48	6	45
48	6	46
48	6	47
48	7	45
