#i	j	k
12	44	15
12	44	16
12	44	17
13	43	14
13	43	15
13	43	16
13	43	17
13	44	15
13	44	16
13	44	17
13	45	14
13	45	16
13	45	17
13	46	16
13	46	17
13	47	14
13	47	15
13	47	16
13	48	14
13	48	15
13	48	16
13	49	14
13	49	15
13	49	16
13	49	17
13	50	14
13	50	15
13	50	16
13	50	17
13	50	18
13	51	14
13	51	15
13	51	18
13	51	19
13	52	18
13	52	19
13	52	20
14	41	14
14	42	15
14	43	14
14	43	15
14	43	16
14	43	17
14	44	14
14	44	15
14	44	16
14	44	17
14	44	18
14	45	14
14	45	15
14	45	16
14	45	17
14	46	14
14	46	15
14	46	16
14	46	17
14	47	14
14	47	15
14	47	16
14	47	17
14	48	14
14	48	15
14	48	16
14	48	17
14	48	18
14	49	13
14	49	14
14	49	15
14	49	16
14	49	17
14	49	18
14	49	19
14	50	14
14	50	15
14	50	16
14	50	17
14	50	18
14	50	19
14	51	14
14	51	15
14	51	16
14	51	17
14	51	18
14	51	19
14	52	16
14	52	17
14	52	18
15	42	15
15	42	16
15	42	17
15	43	15
15	43	16
15	43	17
15	43	18
15	44	13
15	44	14
15	44	15
15	44	16
15	44	17
15	44	18
15	45	13
15	45	14
15	45	15
15	45	16
15	45	17
15	46	14
15	46	15
15	46	16
15	46	17
15	47	15
15	47	16
15	47	17
15	48	14
15	48	15
15	48	16
15	48	17
15	48	18
15	49	14
15	49	15
15	49	16
15	49	17
15	49	18
15	49	19
15	50	14
15	50	15
15	50	16
15	50	17
15	50	18
15	50	19
15	50	20
15	51	14
15	51	15
15	51	16
15	51	17
15	51	18
15	52	16
15	52	17
15	52	18
16	43	15
16	43	16
16	43	17
16	43	18
16	44	14
16	44	15
16	44	16
16	44	17
16	44	18
16	45	14
16	45	15
16	45	16
16	45	17
16	46	15
16	46	16
16	46	17
16	47	15
16	47	16
16	47	17
16	48	15
16	48	16
16	48	17
16	48	18
16	49	15
16	49	16
16	49	17
16	49	18
16	49	19
16	50	14
16	50	15
16	50	16
16	50	17
16	50	18
16	50	19
16	51	15
16	51	16
16	51	17
16	51	18
16	52	16
16	52	17
17	44	14
17	44	15
17	44	16
17	44	17
17	45	14
17	45	15
17	45	16
17	46	15
17	46	16
17	46	17
17	46	18
17	47	16
17	47	17
17	47	18
17	48	16
17	48	17
17	48	18
17	49	16
17	49	17
17	49	18
17	49	19
17	50	16
17	50	17
17	50	18
17	50	19
17	51	16
17	51	17
17	51	18
17	52	16
17	52	17
18	45	14
18	45	15
18	45	16
18	45	17
18	45	18
18	46	16
18	46	17
18	46	18
18	47	16
18	47	17
18	47	18
18	48	16
18	48	17
18	48	18
18	48	19
18	49	17
18	49	18
18	49	19
18	50	17
18	50	18
18	50	19
18	51	16
18	51	17
18	52	16
18	52	17
18	53	17
19	46	16
19	46	17
19	46	18
19	47	16
19	47	17
19	47	18
19	48	16
19	48	17
19	48	18
19	49	16
19	49	17
19	49	18
19	49	19
19	50	16
19	50	17
19	50	18
19	50	19
19	51	16
19	51	17
19	52	16
19	52	17
20	47	16
20	48	16
20	49	16
20	49	17
20	50	16
20	50	17
20	50	18
20	50	19
20	51	16
20	51	17
21	50	16
21	50	17
21	50	18
